nombre,valores
fc1.weight,"[0.10826291888952255, 0.5663610100746155, -0.7714316248893738, 0.5856948494911194, -0.41332167387008667, -0.04215160384774208, -1.3627426624298096, -0.033559344708919525, 0.007228264585137367, 0.38402894139289856, 0.24178607761859894, -0.9786944389343262]"
fc1.bias,"[1.0069949626922607, 0.4175138771533966, 0.8716439008712769, 0.10108999907970428]"
fc2.weight,"[-0.3500000536441803, -0.15636776387691498, 1.2680920362472534, 0.5230355262756348]"
fc2.bias,[-0.9150969386100769]
