nombre,valores
fc1.weight,"[-1.8263148069381714, -0.23398564755916595]"
fc1.bias,"[1.3475927114486694, 1.1224247217178345]"
fc2.weight,"[0.8988215923309326, -0.9618620872497559]"
fc2.bias,[-0.21812447905540466]
