t,vy,ay,y_real,y_pred
0.3166667,-4.480069,105.8824,-0.5283281,-1.2838764
0.3333333,-0.0,153.4901,-0.5283281,-1.3375398
0.35,-0.003274935,-190.8854,-0.5283281,-1.2854125
0.3666667,-5.569129,-95.35849,-0.5284373,-1.4031336
0.3833333,-5.565854,95.52692,-0.7139657,-1.4525523
0.4,-0.0,113.4421,-0.7139657,-1.5793797
0.4166667,-2.257126,-38.31738,-0.7139657,-1.6416161
0.4333333,-2.246153,39.10395,-0.7892033,-1.7115966
0.45,0.01745534,-342.3491,-0.7888375,-1.2722834
0.4666667,-12.23358,-210.317,-0.7886214,-1.3661599
0.4833333,-12.24006,209.6074,-1.196624,-1.7185228
0.5,-0.0,419.6593,-1.196624,-1.6709998
0.5166667,-0.0,0.0,-1.196624,-1.9489206
0.5333333,0.0,0.0,-1.196624,-1.98574
0.0,0.0,0.0,-0.4902678,-0.84288454
0.01666667,-0.6488043,0.0,-0.5118352,-0.84716964
0.03333333,-0.002826637,-36.28284,-0.5118947,-0.8546137
0.05,-1.706684,-29.15281,-0.5119294,-0.85365486
0.06666667,-1.705416,29.31407,-0.5687841,-0.84742403
0.08333333,0.001242802,58.51276,-0.5687766,-0.93026525
0.1,0.001602825,-133.5659,-0.5687427,-0.83900166
0.1166667,-3.894645,-66.8203,-0.5687232,-0.9151046
0.1333333,-3.89523,66.70366,-0.6985642,-0.84431285
0.15,-0.001506789,133.6773,-0.6985642,-0.9435595
0.1666667,0.002939051,-97.26351,-0.6986144,-1.0359664
0.1833333,-2.835383,-55.81151,-0.6984662,-1.0921365
0.2,-3.047034,-189.8782,-0.7931272,-0.91902983
0.2166667,-7.057186,-16.5106,-0.800034,-1.078728
0.2333333,-6.849981,124.5324,-1.028367,-1.0923074
0.25,-7.454988e-15,234.8565,-1.028367,-1.0997225
0.2666667,-0.0,-203.5353,-1.028367,-1.0817876
0.2833333,-5.936445,-101.7676,-1.028367,-1.2047098
0.3,-5.936445,101.7676,-1.226248,-1.251651
0.3166667,-0.0,203.5353,-1.226248,-1.2553099
0.3333333,-0.0,-72.97854,-1.226248,-1.4310191
0.35,-2.128541,-36.37537,-1.226248,-1.4988874
0.3666667,-2.125219,36.66756,-1.2972,-1.5563761
0.3833333,0.006861,-393.4644,-1.297089,-1.0458097
0.4,-13.60115,-233.3979,-1.296971,-1.1667497
0.4166667,-13.60469,233.102,-1.750461,-1.561508
0.4333333,-0.0,466.4466,-1.750461,-1.5076662
0.45,-0.0,-317.8007,-1.750461,-1.3100468
0.4666667,-9.269187,-158.9003,-1.750461,-1.4813079
0.4833333,-9.269187,158.9003,-2.059434,-1.7081332
0.5,-0.0,317.8007,-2.059434,-1.681979
0.5166667,-0.0,0.0,-2.059434,-1.9489206
0.5333333,0.0,0.0,-2.059434,-1.98574
0.0,0.0,0.0,-1.741774,-0.84288454
0.01666667,-0.008797176,0.0,-1.742161,-0.8774256
0.03333333,-0.1056482,-1.614899,-1.742068,-0.9069616
0.05,-0.1115088,-15.97745,-1.745682,-0.9187191
0.06666667,-0.518977,-5.166133,-1.745785,-0.95945215
0.08333333,-0.5186019,8.829962,-1.762981,-0.9948791
0.1,-0.004834691,-18.63736,-1.763071,-1.021785
0.1166667,-1.06191,-18.11873,-1.763143,-1.0281776
0.1333333,-1.062117,-36.41521,-1.798468,-1.0338286
0.15,-1.595305,9.17972,-1.798546,-1.0959914
0.1666667,-1.589685,27.87342,-1.851645,-1.100973
0.1833333,0.01578948,-25.40986,-1.851536,-1.1854934
0.2,-2.326188,-40.5562,-1.851119,-1.1586714
0.2166667,-2.342706,-59.55236,-1.929076,-1.1659077
0.2333333,-2.895784,30.67933,-1.929209,-1.2049966
0.25,-2.891779,-32.09255,-2.025602,-1.2754269
0.2666667,-2.385928,59.16,-2.025602,-1.2536056
0.2833333,-2.359242,43.26175,-2.105133,-1.3271022
0.3,0.0821797,-5.612649,-2.104243,-1.462574
0.3166667,-2.50854,-45.70834,-2.102393,-1.4062465
0.3333333,-2.560745,0.0,-2.187861,-1.5131435
0.35,0.0,0.0,-2.187751,-1.5807267
0.0,0.0,0.0,-1.71944,-0.84288454
0.01666667,-0.01913072,0.0,-1.72024,-0.8771397
0.03333333,-0.02087138,0.129314,-1.720077,-0.9120817
0.05,-0.03067072,0.1111358,-1.720935,-0.94656587
0.06666667,-0.007217934,-6.682499,-1.7211,-0.9711828
0.08333333,-0.2242625,-3.470539,-1.721176,-1.0050809
0.1,-0.2182787,3.998475,-1.728575,-1.0519208
0.1166667,0.005188279,-13.81962,-1.728452,-1.0645157
0.1333333,-0.6224462,-11.05778,-1.728402,-1.0863488
0.15,-0.6300523,10.40546,-1.7492,-1.1423746
0.1666667,-0.01003464,-56.16362,-1.749404,-1.101037
0.1833333,-2.267068,-38.51998,-1.749535,-1.1257119
0.2,-2.26314,38.93135,-1.824973,-1.1332428
0.2166667,-0.0,1.011025,-1.824973,-1.2966858
0.2333333,-2.233652,-38.21502,-1.824973,-1.2370431
0.25,-2.231431,38.39235,-1.899428,-1.2594972
0.2666667,0.004061409,-51.45601,-1.899354,-1.3176247
0.2833333,-3.732422,-64.12362,-1.899292,-1.2894183
0.3,-3.734262,63.95283,-2.023768,-1.2693799
0.3166667,-0.0,128.0318,-2.023768,-1.3469082
0.3333333,-0.0,-82.66413,-2.023768,-1.4160367
0.35,-2.411037,-41.33594,-2.023768,-1.4878201
0.3666667,-2.41115,41.34254,-2.104136,-1.5350603
0.3833333,0.0002489029,-128.61,-2.104139,-1.4554256
0.4,-6.162037,-105.6434,-2.104127,-1.45374
0.4166667,-6.162399,108.1528,-2.309541,-1.5352577
0.4333333,0.07361825,212.5443,-2.309541,-1.5311661
0.45,0.07361825,0.0,-2.307087,-1.8025274
0.4666667,0.0,0.0,-2.307087,-1.8384625
0.0,0.0,0.0,-1.646977,-0.84288454
0.01666667,-0.2655755,0.0,-1.655614,-0.8694791
0.03333333,-0.006175648,-20.99546,-1.655829,-0.878858
0.05,-0.8745725,-14.54059,-1.65582,-0.89991605
0.06666667,-0.8678451,15.25259,-1.684981,-0.92303526
0.08333333,0.01122743,-55.02565,-1.684748,-0.9295164
0.1,-2.474156,-42.79905,-1.684607,-0.93250805
0.1166667,-2.478374,42.34181,-1.76722,-0.9109928
0.1333333,-1.490998e-14,0.3753145,-1.76722,-1.1217537
0.15,-2.467427,-42.68261,-1.76722,-1.0432272
0.1666667,-2.478623,42.22723,-1.849467,-1.0350564
0.1833333,-0.007683832,-32.21376,-1.84984,-1.1740129
0.2,-3.410837,-57.78973,-1.849723,-1.1189828
0.2166667,-3.402148,58.21981,-1.963535,-1.0883136
0.2333333,0.0005160659,-29.75891,-1.963128,-1.2824996
0.25,-4.282059,-73.42442,-1.963518,-1.1947895
0.2666667,-4.270374,73.60704,-2.105864,-1.1649125
0.2833333,-0.0,-7.554469,-2.105864,-1.4221857
0.3,-4.490713,-76.98365,-2.105864,-1.2972353
0.3166667,-4.490713,77.02683,-2.255554,-1.2870436
0.3333333,0.001259211,0.0,-2.255554,-1.5439224
0.35,0.0,0.0,-2.255512,-1.5807267
0.0,0.0,0.0,-0.5778315,-0.84288454
0.01666667,0.000929885,0.0,-0.5776536,-0.8776943
0.03333333,-0.004211523,-28.78678,-0.5778005,-0.86650896
0.05,-0.8363825,-14.2777,-0.5777939,-0.90138996
0.06666667,-0.839032,14.09913,-0.6056799,-0.9269153
0.08333333,-0.008095326,28.59521,-0.6057617,-0.9868534
0.1,-0.006599351,-114.0873,-0.6059497,-0.8697841
0.1166667,-3.333299,-56.916,-0.6059817,-0.93716884
0.1333333,-3.332341,57.15867,-0.7170597,-0.8869436
0.15,-0.0,114.2517,-0.7170597,-0.9807432
