t,vy,ay,y_real,y_pred
0.0,0.0,0.0,-0.9311618,-0.80491346
0.01666667,-0.1873074,0.0,-0.9311737,-0.83601767
0.03333333,-0.1883784,3.166565,-0.9374053,-0.87212217
0.05,-0.002188477,-20.26453,-0.9374529,-0.89561176
0.06666667,-0.7790931,-13.37167,-0.9374783,-0.9209082
0.08333333,-0.780982,-38.28391,-0.9634227,-0.94036543
0.1,-1.507865,0.8450736,-0.963511,-0.98559713
0.1166667,-1.507617,25.81053,-1.013685,-1.034637
0.1333333,-0.003650707,-70.2083,-1.013765,-1.0372334
0.15,-3.554784,-60.81398,-1.013807,-1.017472
0.1666667,-3.553534,60.96056,-1.132258,-1.1238769
0.1833333,-0.0,7.173292,-1.132258,-1.1858736
0.2,-3.344313,-57.33109,-1.132258,-1.1258054
0.2166667,-3.344313,57.33109,-1.243735,-1.2279761
0.2333333,-0.0,114.6622,-1.243735,-1.3522877
0.25,-0.0,36.7754,-1.243735,-1.3403952
0.2666667,1.072616,-151.0361,-1.243735,-1.281379
0.2833333,-3.868912,-103.0996,-1.207981,-1.2611244
0.3,-4.941527,-118.4361,-1.372699,-1.268292
0.3166667,-4.852533,86.23752,-1.372699,-1.4252768
0.3333333,-4.852533,83.18628,-1.53445,-1.4577156
0.35,-0.0,-31.47589,-1.53445,-1.5054427
0.3666667,-5.77058,-98.66048,-1.53445,-1.4030845
0.3833333,-5.762887,99.00995,-1.726802,-1.5545567
0.4,0.006346646,-4.869101,-1.726546,-1.62405
0.4166667,-5.909422,-101.522,-1.726591,-1.5017995
0.4333333,-5.908076,101.3275,-1.923527,-1.6562332
0.45,-0.0,-29.01001,-1.923527,-1.7123821
0.4666667,-6.754201,-115.7863,-1.923527,-1.581917
0.4833333,-6.754201,115.7863,-2.148667,-1.7533433
0.5,-0.0,53.95867,-2.148667,-1.8642707
0.5166667,-5.180407,0.0,-2.148667,-1.779648
0.5333333,0.0,0.0,-2.321347,-1.9007993
0.0,0.0,0.0,-1.340811,-0.80491346
0.01666667,-0.006046755,0.0,-1.341061,-0.8390585
0.03333333,0.002664543,-34.92681,-1.341013,-0.8527609
0.05,-1.024873,-17.84299,-1.340973,-0.8798899
0.06666667,-1.031397,17.35218,-1.375175,-0.93487597
0.08333333,-0.008388399,35.15342,-1.375353,-0.99682915
0.1,-0.004963992,-66.44202,-1.375455,-0.97094953
0.1166667,-1.945694,-33.28361,-1.375518,-0.9922815
0.1333333,-1.946688,-114.1759,-1.440311,-0.9785918
0.15,-4.30537,-7.062758,-1.440408,-1.0367218
0.1666667,-4.302481,74.19279,-1.583824,-1.1191512
0.1833333,0.009826838,147.6606,-1.583824,-1.2692609
0.2,0.009200319,-81.98198,-1.583496,-1.1674602
0.2166667,-2.386541,-41.95636,-1.583517,-1.1852269
0.2333333,-2.407171,40.33939,-1.663047,-1.2678779
0.25,-0.02764647,29.778,-1.663756,-1.3357862
0.2666667,-1.531213,-254.8076,-1.663969,-1.1762253
0.2833333,-8.218752,-88.39418,-1.714796,-1.196864
0.3,-6.69393,167.0327,-1.937927,-1.4080014
0.3166667,-0.0,29.54168,-1.937927,-1.4730959
0.3333333,-5.832297,-99.87918,-1.937927,-1.3328342
0.35,-5.829291,100.0271,-2.132337,-1.4855525
0.3666667,0.002812762,199.8759,-2.132237,-1.6767856
0.3833333,-0.001178637,0.0,-2.132244,-1.5925616
0.4,0.0,0.0,-2.132276,-1.626828
0.0,0.0,0.0,-1.422124,-0.80491346
0.01666667,0.009831758,0.0,-1.421741,-0.8393248
0.03333333,-0.002569509,-6.283216,-1.421797,-0.86964124
0.05,-0.1730343,-2.609621,-1.421826,-0.9032041
0.06666667,-0.1643103,3.274913,-1.427564,-0.94108284
0.08333333,0.01247281,-30.50929,-1.427303,-0.9582817
0.1,-1.055762,-18.39076,-1.427149,-0.98178655
0.1166667,-1.056444,18.20272,-1.462495,-1.037699
0.1333333,0.007329437,-72.60002,-1.462363,-1.0360007
0.15,-3.174237,-54.66678,-1.462251,-1.0274975
0.1666667,-3.17761,54.35766,-1.568171,-1.1262718
0.1833333,-0.0,31.68194,-1.568171,-1.200392
0.2,-2.253553,-30.45264,-1.568171,-1.1600261
0.2166667,-2.014979,66.90635,-1.64329,-1.2559488
0.2333333,0.9439459,22.38147,-1.635337,-1.3134573
0.25,-1.128787,-213.1902,-1.611825,-1.1733832
0.2666667,-6.543865,-70.64493,-1.672964,-1.2012296
0.2833333,-4.627038,145.1579,-1.829954,-1.3954701
0.3,0.0860946,160.1093,-1.827198,-1.5176399
0.3166667,0.003194933,-192.9071,-1.827084,-1.3413743
0.3333333,-5.542191,-95.11853,-1.827092,-1.3405211
0.35,-5.54196,95.01296,-2.011824,-1.4874024
0.3666667,-0.0,-11.2278,-2.011824,-1.5516839
0.3833333,-5.869437,-100.6189,-2.011824,-1.4345123
0.4,-5.869437,100.6189,-2.207472,-1.5879688
0.4166667,-0.0,201.2378,-2.207472,-1.7802844
0.4333333,-0.0,-113.3734,-2.207472,-1.62816
0.45,-3.306725,-56.68672,-2.207472,-1.6405141
0.4666667,-3.306725,0.0,-2.317696,-1.7083409
0.4833333,0.0,0.0,-2.317696,-1.7980599
0.0,0.0,0.0,-0.1323012,-0.80491346
0.01666667,-0.0167963,0.0,-0.1321872,-0.83887815
0.03333333,-0.01631132,-5.473028,-0.1328611,-0.86989063
0.05,-0.1643674,-2.382444,-0.132731,-0.903484
0.06666667,-0.1718862,2.6186,-0.13834,-0.940567
0.08333333,-0.005664014,5.751216,-0.1384605,-0.9794575
0.1,-0.00335881,-29.17323,-0.1385288,-0.993054
0.1166667,-0.8561809,-14.59226,-0.1385725,-1.0216314
0.1333333,-0.8557465,14.65606,-0.1670681,-1.0732112
0.15,-0.001715269,29.29483,-0.1670973,-1.1304564
0.1666667,-0.001295567,-110.5172,-0.1671253,-1.0818875
0.1833333,-3.224941,-55.24029,-0.1671405,-1.0947999
0.2,-3.224485,55.29253,-0.2746234,-1.194532
0.2166667,-0.0,30.65988,-0.2746234,-1.2682796
0.2333333,-2.330239,-39.16399,-0.2746234,-1.222072
0.25,-2.307402,41.17949,-0.352298,-1.3042958
0.2666667,0.04736747,50.8417,-0.3515368,-1.383769
0.2833333,-0.8236718,-169.3465,-0.3507191,-1.2729669
0.3,-5.328271,-63.10162,-0.3789925,-1.2945833
0.3166667,-4.480069,105.8824,-0.5283281,-1.4431624
0.3333333,-0.0,153.4901,-0.5283281,-1.5807673
0.35,-0.003274935,-190.8854,-0.5283281,-1.410956
0.3666667,-5.569129,-95.35849,-0.5284373,-1.4084201
0.3833333,-5.565854,95.52692,-0.7139657,-1.5557988
0.4,-0.0,113.4421,-0.7139657,-1.6940292
0.4166667,-2.257126,-38.31738,-0.7139657,-1.6005108
0.4333333,-2.246153,39.10395,-0.7892033,-1.6808044
0.45,0.01745534,-342.3491,-0.7888375,-1.5270578
0.4666667,-12.23358,-210.317,-0.7886214,-1.433998
0.4833333,-12.24006,209.6074,-1.196624,-1.7168924
0.5,-0.0,419.6593,-1.196624,-1.9453186
0.5166667,-0.0,0.0,-1.196624,-1.8665531
0.5333333,0.0,0.0,-1.196624,-1.9007993
0.0,0.0,0.0,-0.4902678,-0.80491346
0.01666667,-0.6488043,0.0,-0.5118352,-0.8282758
0.03333333,-0.002826637,-36.28284,-0.5118947,-0.8518656
0.05,-1.706684,-29.15281,-0.5119294,-0.8617523
0.06666667,-1.705416,29.31407,-0.5687841,-0.9306549
0.08333333,0.001242802,58.51276,-0.5687766,-1.0108285
0.1,0.001602825,-133.5659,-0.5687427,-0.9312967
0.1166667,-3.894645,-66.8203,-0.5687232,-0.9397199
0.1333333,-3.89523,66.70366,-0.6985642,-1.0530537
0.15,-0.001506789,133.6773,-0.6985642,-1.1922945
0.1666667,0.002939051,-97.26351,-0.6986144,-1.0898098
0.1833333,-2.835383,-55.81151,-0.6984662,-1.1009966
0.2,-3.047034,-189.8782,-0.7931272,-1.0522735
0.2166667,-7.057186,-16.5106,-0.800034,-1.1219472
0.2333333,-6.849981,124.5324,-1.028367,-1.2432212
0.25,-7.454988e-15,234.8565,-1.028367,-1.4577353
0.2666667,-0.0,-203.5353,-1.028367,-1.2322854
0.2833333,-5.936445,-101.7676,-1.028367,-1.2272291
0.3,-5.936445,101.7676,-1.226248,-1.3820467
0.3166667,-0.0,203.5353,-1.226248,-1.576167
0.3333333,-0.0,-72.97854,-1.226248,-1.4466108
0.35,-2.128541,-36.37537,-1.226248,-1.4668325
0.3666667,-2.125219,36.66756,-1.2972,-1.5444043
0.3833333,0.006861,-393.4644,-1.297089,-1.3596143
0.4,-13.60115,-233.3979,-1.296971,-1.2603976
0.4166667,-13.60469,233.102,-1.750461,-1.5709319
0.4333333,-0.0,466.4466,-1.750461,-1.9399476
0.45,-0.0,-317.8007,-1.750461,-1.5413069
0.4666667,-9.269187,-158.9003,-1.750461,-1.5141863
0.4833333,-9.269187,158.9003,-2.059434,-1.7366927
0.5,-0.0,317.8007,-2.059434,-1.9763465
0.5166667,-0.0,0.0,-2.059434,-1.8665531
0.5333333,0.0,0.0,-2.059434,-1.9007993
0.0,0.0,0.0,-1.741774,-0.80491346
0.01666667,-0.008797176,0.0,-1.742161,-0.83901227
0.03333333,-0.1056482,-1.614899,-1.742068,-0.87067723
0.05,-0.1115088,-15.97745,-1.745682,-0.8963174
0.06666667,-0.518977,-5.166133,-1.745785,-0.9301326
0.08333333,-0.5186019,8.829962,-1.762981,-0.9726764
0.1,-0.004834691,-18.63736,-1.763071,-0.9992705
0.1166667,-1.06191,-18.11873,-1.763143,-1.0160911
0.1333333,-1.062117,-36.41521,-1.798468,-1.0394953
0.15,-1.595305,9.17972,-1.798546,-1.0918069
0.1666667,-1.589685,27.87342,-1.851645,-1.1372215
0.1833333,0.01578948,-25.40986,-1.851536,-1.1668365
0.2,-2.326188,-40.5562,-1.851119,-1.1528224
0.2166667,-2.342706,-59.55236,-1.929076,-1.1755388
0.2333333,-2.895784,30.67933,-1.929209,-1.2539586
0.25,-2.891779,-32.09255,-2.025602,-1.2510872
0.2666667,-2.385928,59.16,-2.025602,-1.3478763
0.2833333,-2.359242,43.26175,-2.105133,-1.3731524
0.3,0.0821797,-5.612649,-2.104243,-1.4194031
0.3166667,-2.50854,-45.70834,-2.102393,-1.3864362
0.3333333,-2.560745,0.0,-2.187861,-1.4468838
0.35,0.0,0.0,-2.187751,-1.5240886
0.0,0.0,0.0,-1.71944,-0.80491346
0.01666667,-0.01913072,0.0,-1.72024,-0.838839
0.03333333,-0.02087138,0.129314,-1.720077,-0.87313294
0.05,-0.03067072,0.1111358,-1.720935,-0.90720403
0.06666667,-0.007217934,-6.682499,-1.7211,-0.93781954
0.08333333,-0.2242625,-3.470539,-1.721176,-0.9703276
0.1,-0.2182787,3.998475,-1.728575,-1.009099
0.1166667,0.005188279,-13.81962,-1.728452,-1.0365392
0.1333333,-0.6224462,-11.05778,-1.728402,-1.0618924
0.15,-0.6300523,10.40546,-1.7492,-1.1087259
0.1666667,-0.01003464,-56.16362,-1.749404,-1.113939
0.1833333,-2.267068,-38.51998,-1.749535,-1.1207738
0.2,-2.26314,38.93135,-1.824973,-1.2009673
0.2166667,-0.0,1.011025,-1.824973,-1.2507161
0.2333333,-2.233652,-38.21502,-1.824973,-1.2242544
0.25,-2.231431,38.39235,-1.899428,-1.3039191
0.2666667,0.004061409,-51.45601,-1.899354,-1.3224429
0.2833333,-3.732422,-64.12362,-1.899292,-1.2865028
0.3,-3.734262,63.95283,-2.023768,-1.396589
0.3166667,-0.0,128.0318,-2.023768,-1.5314398
0.3333333,-0.0,-82.66413,-2.023768,-1.4408731
0.35,-2.411037,-41.33594,-2.023768,-1.4591548
0.3666667,-2.41115,41.34254,-2.104136,-1.542377
0.3833333,0.0002489029,-128.61,-2.104139,-1.5163989
0.4,-6.162037,-105.6434,-2.104127,-1.4608737
0.4166667,-6.162399,108.1528,-2.309541,-1.6217637
0.4333333,0.07361825,212.5443,-2.309541,-1.8224636
0.45,0.07361825,0.0,-2.307087,-1.7308022
0.4666667,0.0,0.0,-2.307087,-1.7638136
0.0,0.0,0.0,-1.646977,-0.80491346
0.01666667,-0.2655755,0.0,-1.655614,-0.8347047
0.03333333,-0.006175648,-20.99546,-1.655829,-0.86086535
0.05,-0.8745725,-14.54059,-1.65582,-0.88436764
0.06666667,-0.8678451,15.25259,-1.684981,-0.93637586
0.08333333,0.01122743,-55.02565,-1.684748,-0.9437376
0.1,-2.474156,-42.79905,-1.684607,-0.9435329
0.1166667,-2.478374,42.34181,-1.76722,-1.0281447
0.1333333,-1.490998e-14,0.3753145,-1.76722,-1.0791073
0.15,-2.467427,-42.68261,-1.76722,-1.0464541
0.1666667,-2.478623,42.22723,-1.849467,-1.1308119
0.1833333,-0.007683832,-32.21376,-1.84984,-1.1624124
0.2,-3.410837,-57.78973,-1.849723,-1.1244177
0.2166667,-3.402148,58.21981,-1.963535,-1.2275323
0.2333333,0.0005160659,-29.75891,-1.963128,-1.2667434
0.25,-4.282059,-73.42442,-1.963518,-1.2032797
0.2666667,-4.270374,73.60704,-2.105864,-1.3248216
0.2833333,-0.0,-7.554469,-2.105864,-1.3826276
0.3,-4.490713,-76.98365,-2.105864,-1.3004105
0.3166667,-4.490713,77.02683,-2.255554,-1.4258903
0.3333333,0.001259211,0.0,-2.255554,-1.4898633
0.35,0.0,0.0,-2.255512,-1.5240886
0.0,0.0,0.0,-0.5778315,-0.80491346
0.01666667,0.000929885,0.0,-0.5776536,-0.83917564
0.03333333,-0.004211523,-28.78678,-0.5778005,-0.85628283
0.05,-0.8363825,-14.2777,-0.5777939,-0.885164
0.06666667,-0.839032,14.09913,-0.6056799,-0.9361758
0.08333333,-0.008095326,28.59521,-0.6057617,-0.99294925
0.1,-0.006599351,-114.0873,-0.6059497,-0.94269776
0.1166667,-3.333299,-56.916,-0.6059817,-0.955004
0.1333333,-3.332341,57.15867,-0.7170597,-1.0568423
0.15,-0.0,114.2517,-0.7170597,-1.1808124
0.1666667,-0.0,-0.0,-0.7170597,-1.1473778
0.1833333,-0.0,-18.13723,-0.7170597,-1.17088
0.2,-0.5290024,-140.5023,-0.7170597,-1.1237649
