nombre,valores
fc1.weight,"[-0.16673240065574646, 0.3091266453266144]"
fc1.bias,"[-0.11384811252355576, 0.61383056640625]"
fc2.weight,"[-0.037629079073667526, -0.6945216059684753]"
fc2.bias,[0.43160441517829895]
