t,y_real,y_pred
0.3,-2.104243,-1.3573998
0.3166667,-2.102393,-1.3896406
0.3333333,-2.187861,-1.4202487
0.35,-2.187751,-1.4503653
0.0,-1.71944,-0.90192914
0.01666667,-1.72024,-0.90699863
0.03333333,-1.720077,-0.9126687
0.05,-1.720935,-0.9191561
0.06666667,-1.7211,-0.9267726
0.08333333,-1.721176,-0.9359569
0.1,-1.728575,-0.94730467
0.1166667,-1.728452,-0.96158814
0.1333333,-1.728402,-0.979738
0.15,-1.7492,-1.0027493
0.1666667,-1.749404,-1.0314661
0.1833333,-1.749535,-1.0662383
0.2,-1.824973,-1.1065472
0.2166667,-1.824973,-1.150825
0.2333333,-1.824973,-1.1967041
0.25,-1.899428,-1.2416862
0.2666667,-1.899354,-1.2838793
0.2833333,-1.899292,-1.3224114
0.3,-2.023768,-1.3573998
0.3166667,-2.023768,-1.3896406
0.3333333,-2.023768,-1.4202487
0.35,-2.023768,-1.4503653
0.3666667,-2.104136,-1.4809552
0.3833333,-2.104139,-1.5126745
0.4,-2.104127,-1.5458004
0.4166667,-2.309541,-1.5802355
0.4333333,-2.309541,-1.615622
0.45,-2.307087,-1.6515672
0.4666667,-2.307087,-1.6879251
0.0,-1.646977,-0.90192914
0.01666667,-1.655614,-0.90699863
0.03333333,-1.655829,-0.9126687
0.05,-1.65582,-0.9191561
0.06666667,-1.684981,-0.9267726
0.08333333,-1.684748,-0.9359569
0.1,-1.684607,-0.94730467
0.1166667,-1.76722,-0.96158814
0.1333333,-1.76722,-0.979738
0.15,-1.76722,-1.0027493
0.1666667,-1.849467,-1.0314661
0.1833333,-1.84984,-1.0662383
0.2,-1.849723,-1.1065472
0.2166667,-1.963535,-1.150825
0.2333333,-1.963128,-1.1967041
0.25,-1.963518,-1.2416862
0.2666667,-2.105864,-1.2838793
0.2833333,-2.105864,-1.3224114
0.3,-2.105864,-1.3573998
0.3166667,-2.255554,-1.3896406
0.3333333,-2.255554,-1.4202487
0.35,-2.255512,-1.4503653
0.0,-0.5778315,-0.90192914
0.01666667,-0.5776536,-0.90699863
0.03333333,-0.5778005,-0.9126687
0.05,-0.5777939,-0.9191561
0.06666667,-0.6056799,-0.9267726
0.08333333,-0.6057617,-0.9359569
0.1,-0.6059497,-0.94730467
0.1166667,-0.6059817,-0.96158814
0.1333333,-0.7170597,-0.979738
0.15,-0.7170597,-1.0027493
0.1666667,-0.7170597,-1.0314661
0.1833333,-0.7170597,-1.0662383
0.2,-0.7170597,-1.1065472
0.2166667,-0.7346931,-1.150825
0.2333333,-0.8624758,-1.1967041
0.25,-0.8624758,-1.2416862
0.2666667,-0.8624758,-1.2838793
0.2833333,-0.9459335,-1.3224114
0.3,-0.9457439,-1.3573998
0.3166667,-0.9453802,-1.3896406
0.3333333,-1.027772,-1.4202487
0.35,-1.258503,-1.4503653
0.3666667,-1.273115,-1.4809552
0.3833333,-1.273175,-1.5126745
0.4,-1.355974,-1.5458004
0.4166667,-1.536957,-1.5802355
0.4333333,-1.536957,-1.615622
0.45,-1.536952,-1.6515672
0.4666667,-1.832043,-1.6879251
0.4833333,-1.832021,-1.7250156
0.5,-1.832017,-1.7636404
0.5166667,-1.832096,-1.8047642
0.5333333,-2.172261,-1.8488529
0.0,-1.530771,-0.90192914
0.01666667,-1.538797,-0.90699863
0.03333333,-1.538973,-0.9126687
0.05,-1.539082,-0.9191561
0.06666667,-1.568642,-0.9267726
0.08333333,-1.568373,-0.9359569
0.1,-1.619979,-0.94730467
0.1166667,-1.620003,-0.96158814
0.1333333,-1.620154,-0.979738
0.15,-1.734973,-1.0027493
0.1666667,-1.734973,-1.0314661
0.1833333,-1.734973,-1.0662383
0.2,-1.789107,-1.1065472
0.2166667,-1.755441,-1.150825
0.2333333,-1.777651,-1.1967041
