nombre,valores
fc1.weight,"[-1.3806979656219482, -0.03267165273427963, 0.06263963133096695, -0.04193071275949478, -0.028139637783169746, -0.5223625302314758]"
fc1.bias,"[0.8939007520675659, 0.028072664514183998]"
fc2.weight,"[1.1268116235733032, 0.4056665599346161]"
fc2.bias,[-1.1581804752349854]
