t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-0.5403413,,,0.012851997429603707,
0.01666667,-0.5401271,-0.4146038,,-0.4146030414603042,-51.294625184639024
0.03333333,-0.5541614,-0.4114256,-18.74685,-0.4114260411426044,51.67586514651501
0.05,-0.5538413,-0.7460723,1.097761,-0.7460728507854293,-91.83344326661931
0.06666667,-0.5790305,-0.7620456,-32.71037,-0.7620480762048085,89.91647054957068
0.08333333,-0.5792429,-1.325473,3.391125,-1.3254721325472116,-157.5273437884843
0.1,-0.6232129,-1.319503,-30.43816,-1.3195005485493967,158.2435543701759
0.1166667,-0.6232263,-1.553903,18.26107,-1.5539055539055573,-186.37293215335487
0.1333333,-0.6750097,-1.563439,-74.77914,-1.563439563439564,185.2288532974316
0.15,-0.6753409,-2.963179,2.806259,-2.9631720736558513,-353.19530721735816
0.1666667,-0.7737823,-2.953242,-29.23259,-2.9532449532449525,354.388685612023
0.1833333,-0.7737823,-2.339175,60.98727,-2.3391773391773385,-280.7007192998419
0.2,-0.8517548,-2.344034,-50.96065,-2.344030311939377,280.1166795321614
0.2166667,-0.8519168,-2.658369,35.37169,-2.6583716583716592,-317.83947269528517
0.2333333,-0.9403671,-2.636686,-54.24413,-2.6366876366876344,320.4415500932128
0.25,-0.9398063,-2.905322,36.99421,-2.9053111893776253,-352.6743893010332
0.2666667,-1.037211,-3.027174,-60.95019,-3.0271740271740293,338.0529063258682
0.2833333,-1.040712,-3.274476,47.65493,-3.2744732744732716,-367.7287566500767
0.3,-1.14636,-3.169449,-10.95045,-3.1694336611326754,380.3312786733642
0.3166667,-1.14636,-2.00914,20.28405,-2.0091620091620097,-241.10040550106348
0.3333333,-1.213332,-3.582401,7.216479,-3.5824235824235844,52.30939429169745
0.35,-1.265774,-1.58072,-37.10119,-1.5806968386063194,187.8976484086544
0.3666667,-1.266022,-3.881618,-93.91265,-3.8816138816138848,-464.00992540456116
0.3833333,-1.395161,-6.253189,-34.05292,-6.25320625320625,179.4194099945087
0.4,-1.474462,-4.127263,56.71767,-4.127241745516508,75.69689721210635
0.4166667,-1.532736,-4.283525,68.17084,-4.28352428352429,-94.45133097215886
0.4333333,-1.617246,-2.532476,-55.06446,-2.5324825324825264,304.57592084798995
0.45,-1.617152,-4.620518,7.464514,-4.620500758998483,-555.1357794546627
0.4666667,-1.771263,-4.627836,-198.6944,-4.62786462786463,554.2554424840539
0.4833333,-1.771414,-8.106357,19.71371,-8.106368106368107,-971.6750250653064
0.5,-2.041475,-8.101529,-47.00838,-8.1014837970324,972.255310974869
0.5166667,-2.041464,-5.426345,184.7437,-5.426345426345421,-651.2432559760772
0.5333333,-2.222353,-5.42667,,-5.426675426675427,651.2036560156763
0.55,-2.222353,,,0.0,
