t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-0.4067522,,,-0.40692049714285705,0.11326563061159883,-12.483515780173038,-0.40694448390743065,0.1860448142650184,-22.467384377841306
0.01666667,-0.4071881,-0.009154534,,-0.4065149114285713,-0.04949647243562712,-7.047897522667529,-0.4063660588786231,-0.08074490357367019,-9.547375359849372
0.03333333,-0.4070573,-0.1065644,-1.612182,-0.4080670828571429,-0.12166475667048715,-1.6122792651621296,-0.40843968229969346,-0.132201128438761,3.3726259061386985
0.05,-0.4107403,-0.1133834,-9.913056,-0.4088382657142857,-0.07643584712830886,-9.912971776644724,-0.40957646562399297,0.031676077922251494,16.29263492413063
0.06666667,-0.4108368,-0.3418978,-2.084135,-0.4140242057142857,-0.37992824014352067,-2.0840830922307134,-0.4113871609889657,-0.5250492412100385,-83.09965985860045
0.08333333,-0.4221369,-0.3422253,-17.99373,-0.41727961714285716,-0.2828459343081384,-17.99360231123333,-0.4219225350316544,-0.1537727153216471,127.65286078648776
0.1,-0.4222443,-0.6988242,-0.2441489,-0.4291477457142857,-0.7588024823950406,-0.2441304520486085,-0.4223771453572188,-0.8380584642345106,-209.76713423317665
0.1166667,-0.445431,-0.6955366,-20.14859,-0.43679527714285715,-0.6544651910696224,-20.14855369141901,-0.4453387939557705,-0.7089086050312716,225.26508634166112
0.1333333,-0.4454288,-0.9386572,-36.36413,-0.45178634857142863,-0.7646944706110617,-36.36407168642506,-0.44545326706846616,-0.4799895766546054,-197.79469305488797
0.15,-0.4767196,-2.225552,-5.677411,-0.47972753714285715,-2.5979058041884038,-5.677331576365248,-0.4767996289172136,-3.0340622894286833,-108.69341950177616
0.1666667,-0.5196139,-1.278301,-1.387691,-0.5065446828571428,-1.0637478725042584,-1.3876401637195954,-0.5194165952176815,-0.6971337057445497,389.12428868213374
0.1833333,-0.5193296,-1.618348,16.07522,-0.5370232485714286,-1.6735521528957022,16.07511855660414,-0.5196295608102924,-1.8867559833915448,-531.8795330207505
0.2,-0.5735588,-1.627142,-38.19777,-0.55410956,-1.579938840122331,-38.197647209258434,-0.573176031582296,-1.432495188988141,586.3907193267862
0.2166667,-0.5735677,-1.919145,22.88971,-0.5946612914285715,-1.9678605642788796,22.88968558402371,-0.5740277294775882,-2.1749140374675395,-675.480802964147
0.2333333,-0.6375303,-1.918831,-85.42793,-0.6112220485714286,-1.6633576732846613,-85.42755543229413,-0.6369887173529503,-1.3542108993815765,773.9655734735445
0.25,-0.6375287,-3.45133,6.62284,-0.6725948514285713,-3.706730086539846,6.6227906516679695,-0.638144052393884,-3.949264104390903,-1085.37133526314
0.2666667,-0.7525746,-3.451377,-36.45203,-0.7150231542857142,-3.5618028763942675,-36.45196276343188,-0.751915605141233,-3.535531111348873,1135.019195132464
0.2833333,-0.7525746,-2.788826,70.41578,-0.7863308485714285,-2.677868144263723,70.41546119501669,-0.7532385654841967,-2.625527050368343,-1025.818271011104
0.3,-0.8455355,-2.791997,-70.93948,-0.81176732,-2.680343139313731,-70.93915624309182,-0.8449079155638166,-2.7008932239645547,1016.7743482674041
0.3166667,-0.8456412,-3.465067,36.32446,-0.8832554828571428,-3.577765344469327,36.32436898809323,-0.8461633392192551,-3.2973258732323814,-1088.3461230359937
0.3333333,-0.9610377,-3.461896,59.4555,-0.9313733742857143,-4.038340923318167,59.45525360731966,-0.9607281794124297,-4.957587228225771,889.1139635081485
0.35,-0.9610377,-0.0,-0.9822477,-0.96095586,1.1587366825266372,-0.9820760716916652,-0.9610463964113615,2.44859766340112,-0.37355399373931625
0.3666667,-0.9610377,-3.490545,-59.83791,-0.9909566057142857,-4.07228735542531,-59.837572078044104,-0.9613203951343656,-4.943402042129919,-886.6646365936024
0.3833333,-1.077389,-3.490545,-24.41845,-1.0404487228571428,-3.6627081745836705,-24.418548039996153,-1.0769188111258794,-3.5321516092796474,1056.0153659385526
0.4,-1.077389,-2.457477,35.03289,-1.1048831685714284,-2.07862934274133,35.03228272787203,-1.0779422746230307,-1.920065492225917,-862.5654187919996
0.4166667,-1.159305,-3.697491,-118.8893,-1.1372229428571428,-3.6343527312945554,-118.88901015776992,-1.1586953880590538,-3.5073408302793494,672.0927591709067
0.4333333,-1.200639,-5.316349,35.51992,-1.231962257142857,-5.792278415443192,35.5205436319693,-1.2013403705162433,-6.262196476244474,-1002.6767590227216
0.45,-1.336517,-4.079654,-48.19335,-1.2917705428571429,-3.7725424549151043,-48.19249294412123,-1.3356953977975758,-3.3038072206357896,1357.6827596837618
0.4666667,-1.336627,-4.68548,59.55133,-1.3883782,-4.78697042605917,59.5509617959151,-1.3375508438085917,-5.040410798162695,-1566.0747722029655
0.4833333,-1.492699,-4.682161,-79.18835,-1.439278257142857,-4.686280627438762,-79.18939752780807,-1.4917288134251747,-4.6207530440425995,1616.4339041339044
0.5,-1.492699,-4.65406,80.74736,-1.5459687142857141,-4.649390701218614,80.746648441655,-1.493632296537354,-4.571429661868824,-1610.5151101106394
0.5166667,-1.647835,-4.65406,-101.392,-1.5928449142857142,-4.549035901928214,-101.39102300693162,-1.647065974973876,-5.054161465981959,1552.5874094724643
0.5333333,-1.647835,-5.284297,-120.5069,-1.6906357428571428,-4.468201063597917,-120.50540369219016,-1.6482687149903377,-3.04634779633231,-1311.6488053600897
0.55,-1.823978,-10.81099,-5.817575,-1.8259172000000001,-12.604704790590489,-5.817576729669327,-1.824010520494245,-14.610337558967633,-76.02719080415375
0.5666667,-2.008201,-5.575176,77.29063,-1.9598597714285717,-4.662125675748683,77.2901479819568,-2.007737242758106,-3.216507557584481,1443.284056456407
0.5833333,-2.009817,-5.817575,91.41903,-2.074641342857143,-5.8660382679234715,91.41854861115462,-2.0104655992467286,-6.085410044875712,-1787.5537320100548
0.6,-2.20212,-5.769095,-85.60145,-2.137295571428571,-5.817553364893286,-85.60200044880003,-2.201611526441089,-7.339067100191546,1637.1151862492457
0.6166667,-2.20212,-5.429736,,-2.2453362857142847,-7.098831516622709,-68.15107025258942,-2.2023436557664247,0.9036973480584543,-647.9854307187592
0.6333333,-2.383112,,,-2.3723079285714275,-8.089260250050943,-50.70014005637848,-2.3830695642059245,-28.93833134859286,-2933.072337110475
