t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-1.202291,,,0.003719999256000538,
0.01666667,-1.202229,-0.1564003,,-0.15639001563899893,-19.213209472683726
0.03333333,-1.207504,-0.1525484,-14.48569,-0.1525500152550017,19.6740094266034
0.05,-1.207314,-0.4969213,-29.58299,-0.49691990061602065,-60.9983756006468
0.06666667,-1.224068,-1.26955,-4.936158,-1.2695401269540152,-31.716052046658238
0.08333333,-1.249632,-0.7730424,-6.716716,-0.7730400773040079,91.29604608866026
0.1,-1.249836,-1.085051,7.993678,-1.0850688064243097,-128.73919958627894
0.1166667,-1.285801,-1.076301,-32.62893,-1.0763110763110817,129.7906721103948
0.1333333,-1.285713,-1.495945,11.20892,-1.4959214959215,-180.1438217573456
0.15,-1.335665,-1.499979,-57.56661,-1.4999670000659964,179.65728137015608
0.1666667,-1.335712,-2.426384,9.832701,-2.426402426402421,-290.83105516931045
0.1833333,-1.416545,-2.424982,-31.45615,-2.424992424992422,291.0002550001106
0.2,-1.416545,-2.131364,46.33932,-2.131345737308527,-255.76097695506968
0.2166667,-1.48759,-2.1391,-48.88152,-2.139092139092144,254.832939594748
0.2333333,-1.487848,-2.495261,30.37319,-2.4952824952824986,-297.5756968520756
0.25,-1.570766,-2.49311,-66.82633,-2.4931150137699687,297.8340086627749
0.2666667,-1.570952,-3.203392,30.56274,-3.203373203373201,-383.0671193516569
0.2833333,-1.677545,-3.197807,55.01104,-3.1977931977932017,383.7367186820582
0.3,-1.677545,-0.0,212.163,0.0,0.0
0.3166667,-1.677545,2.990279,-115.9137,2.990252990252988,358.83179415753574
0.3333333,-1.57787,-1.885676,-308.6045,-1.8856818856818889,-943.9428090476932
0.35,-1.740401,-9.943802,-103.81,-9.943780112439768,-23.03270786907399
0.3666667,-1.90933,-5.009414,130.8429,-5.009435009435003,615.15662692157
0.3833333,-1.907382,-3.564411,110.6471,-3.564393564393565,-441.7520003258511
0.4,-2.028143,-3.622844,-74.12639,-3.6228227543544933,434.73786104681625
0.4166667,-2.028143,-3.915009,57.09735,-3.915033915033913,-469.80594902786635
0.4333333,-2.158644,-3.915009,-4.54825,-3.9150339150339066,469.80594902786555
0.45,-2.158644,-2.090162,,-2.090155819688365,-250.81819672621066
0.4666667,-2.228316,,,-4.180311639376737,
