t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-1.239233,,,-1.3263597347280505,
0.01666667,-1.261339,-0.6677989,,-0.667800066780005,79.02719176464215
0.03333333,-1.261493,-0.9985103,6.040081,-0.9984900998490085,-118.70998779636336
0.05,-1.294622,-0.9862609,17.41991,-0.9862498027500392,120.17875192849421
0.06666667,-1.294368,0.01032625,-10.54825,0.010320001031997103,-0.5903997465601505
0.08333333,-1.294278,-1.29638,-22.54369,-1.296390129639011,-156.2147845729239
0.1,-1.337581,-1.298089,-49.75168,-1.2980985720915683,156.0093969739093
0.1166667,-1.337548,-2.097434,-77.76248,-2.0974220974220996,-251.9292589324884
0.1333333,-1.407495,-4.615871,0.7028123,-4.615864615864615,-50.2832388556179
0.15,-1.49141,-2.286444,119.0622,-2.286445427109149,329.81268074795673
0.1666667,-1.48371,0.2309998,3.705968,0.2310002310002255,-27.719972280082487
0.1833333,-1.48371,-2.293854,-45.65331,-2.2938622938622872,-275.2629247376249
0.2,-1.560172,-2.247482,-91.76085,-2.2474755050489903,280.82767668816865
0.2166667,-1.558626,-3.800099,-89.66579,-3.800103800103804,-467.14550233210895
0.2333333,-1.686842,-6.809155,6.510393,-6.809166809166806,106.05866341822595
0.25,-1.785598,-3.16832,69.13724,-3.168323663352678,330.8422766295701
0.2666667,-1.792453,-3.414128,50.06216,-3.4141234141234134,-360.3403497680101
0.2833333,-1.899402,-3.209602,-84.71042,-3.2095832095832093,384.8851252232838
0.3,-1.899439,-4.281157,36.65225,-4.281171437657116,-513.4731461053591
0.3166667,-2.042108,-4.280047,-66.42404,-4.28007428007427,513.6078863931385
0.3333333,-2.042108,-4.078501,76.82732,-4.078504078504091,-489.41951058147043
0.35,-2.178058,-4.078501,-85.74746,-4.0784918430163195,489.41804232587435
0.3666667,-2.178058,-4.540218,62.00201,-4.540204540204533,-544.8267241314413
0.3833333,-2.329398,-4.540218,,-4.540204540204533,544.8267241314413
0.4,-2.329398,,,0.0,
