t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-0.3965993,,,-0.23837995232400977,
0.01666667,-0.4005723,-0.1244511,,-0.12445201244520114,13.671358254000337
0.03333333,-0.4007477,-0.3506016,-1.784968,-0.3506010350601033,-40.809235540213145
0.05,-0.412259,-0.3465536,-22.14168,-0.34655093068981385,41.29522348190898
0.06666667,-0.4122994,-0.8243355,-2.237631,-0.8243370824337084,-98.62960940206479
0.08333333,-0.4397369,-0.8227737,-28.04268,-0.822774082277408,98.81716938330875
0.1,-0.4397252,-1.23051,7.055859,-1.2305086464404897,-147.74498206604673
0.1166667,-0.4807539,-1.232583,21.0222,-1.2325842325842338,147.49653126391908
0.1333333,-0.4808113,-0.002794035,-10.5417,-0.002793002793003172,0.07812116172380239
0.15,-0.480847,-1.539723,-26.04443,-1.5397199205601595,-184.50898196333392
0.1666667,-0.5321354,-1.531214,-75.71735,-1.5312165312165287,185.53049982453285
0.1833333,-0.5318875,-2.975101,1.497027,-2.975105975105972,-358.7968865584925
0.2,-0.6313055,-2.982539,-29.28835,-2.982534034931932,357.9033683850949
0.2166667,-0.6313055,-2.338075,62.23346,-2.3380763380763394,-280.5702828502921
0.2333333,-0.7092413,-2.336434,-55.346,-2.3364353364353367,280.7672026533723
0.25,-0.7091866,-2.782475,32.14061,-2.7824704350591336,-334.2896228401721
0.2666667,-0.8019905,-2.791878,-54.98322,-2.791880791880791,333.1623812503434
0.2833333,-0.8022492,-2.997975,44.32766,-2.9979779979779964,-357.89399651877756
0.3,-0.901923,-2.990214,-67.20033,-2.9902080195839607,358.82424470158634
0.3166667,-0.901923,-3.462878,43.15799,-3.462873462873462,-415.54647773072696
0.3333333,-1.017352,-3.462878,-7.65109,-3.4628734628734676,415.54647773072764
0.35,-1.017352,-1.954596,90.05178,-1.954586090827818,-234.5498617996141
0.3666667,-1.082505,-1.813666,-163.0938,-1.8136818136818151,251.4598499962581
0.3833333,-1.077808,-5.663736,-185.2976,-5.663765663765657,-713.4689879880423
0.4,-1.271297,-10.19098,7.61002,-10.19094961810076,170.2037191844389
0.4166667,-1.417507,-4.7326,108.6525,-4.73259473259474,484.8004658707088
0.4333333,-1.42905,-5.001935,76.51519,-5.001935001934999,-517.1212335500029
0.45,-1.584238,-4.655587,-74.53536,-4.655570688858622,558.6817652707034
0.4666667,-1.584236,-4.848029,76.51104,-4.848034848034843,-581.780908859016
0.4833333,-1.745839,-4.84809,83.10804,-4.848094848094845,581.7737088662158
0.5,-1.745839,-0.0,-15.82823,0.0,0.0
0.5166667,-1.745839,-5.309746,-91.02422,-5.309765309765309,-637.1743858693815
0.5333333,-1.922831,-5.309746,-94.9818,-5.309765309765309,637.1743858693815
0.55,-1.922831,-5.425176,89.04543,-5.425159149681713,-651.0177959262168
0.5666667,-2.10367,-5.425176,-110.1525,-5.425175425175429,651.0197489815566
0.5833333,-2.10367,-5.925369,,-5.925365925365914,-711.042488958935
0.6,-2.301182,,,-11.850696298607438,
