t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-1.626904,,,0.2851199429760034,
0.01666667,-1.622152,0.1420416,,0.14205001420499944,-17.16839831987981
0.03333333,-1.622169,0.1123549,-3.232341,0.1123500112350044,13.604398676280335
0.05,-1.618407,0.1044585,-1.937102,0.10445997910800374,-14.55119417952211
0.06666667,-1.618687,-0.004785595,-14.45477,-0.004770000477000656,1.4436001170004669
0.08333333,-1.618566,-0.3111194,-5.172581,-0.31113003111300025,-38.20679644068114
0.1,-1.629058,-0.314839,-14.93623,-0.31484965366538525,37.76035093097452
0.1166667,-1.629061,-0.5894328,0.750354,-0.5894105894105954,-70.70795360428443
0.1333333,-1.648705,-0.5875773,-21.85447,-0.5875805875805841,70.92755338468616
0.15,-1.648647,-0.9313035,4.280148,-0.9313181373637204,-112.17555129734629
0.1666667,-1.679749,-0.930154,-26.26125,-0.9301509301509283,112.31628977914308
0.1833333,-1.679652,-1.229267,10.76148,-1.2292512292512283,-148.20825388725083
0.2,-1.720724,-1.233823,-66.76149,-1.2338075323849398,147.66060935697143
0.2166667,-1.720779,-2.56121,-1.603939,-2.5612225612225643,-306.9519359464489
0.2333333,-1.806098,-2.559566,-23.57213,-2.5595725595725565,307.1499357484497
0.25,-1.806098,-1.968947,54.0379,-1.968956062087874,-236.27425490203538
0.2666667,-1.87173,-1.967934,-44.05096,-1.9679419679419687,236.39736433751082
0.2833333,-1.871696,-2.268787,28.38515,-2.268782268782274,-272.4981282368197
0.3,-1.947356,-2.27544,38.64695,-2.2754354491290982,271.69811320646136
0.3166667,-1.947544,-0.009504369,-10.6336,-0.009510009510006528,0.21239700119158902
0.3333333,-1.947673,-2.584698,-43.89673,-2.584682584682592,-309.2324879817202
0.35,-2.0337,-2.578311,-58.13643,-2.5782848434303087,309.9983600053213
0.3666667,-2.033616,-2.988665,37.16498,-2.9886929886929816,-359.2493944311399
0.3833333,-2.133323,-2.991189,-56.99346,-2.99121299121299,358.94699473353825
0.4,-2.133323,-3.15538,48.52527,-3.1553636892726242,-378.64288542694453
0.4166667,-2.238502,-3.153559,-34.0893,-3.153543153543159,378.86362245474237
0.4333333,-2.238441,-2.57105,,-2.5710625710625687,-308.96609235213054
0.45,-2.324204,,,-5.145769708460574,
