t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-1.776882,,,-1.7771123571428573,0.110027835137347,3.5933128483844423,-1.776881437556612,-0.22067681748907014,44.36080935332308
0.01666667,-1.776508,0.01076937,,-1.7755865714285712,0.024641423643143583,-13.83968017841538,-1.776512429961197,0.13810150365616491,-1.3074194265728565
0.03333333,-1.776523,-0.3997008,-31.27273,-1.777905142857143,-0.35129492974103016,-31.272673205213323,-1.7765065919314156,-0.2642570040012832,-46.975620805537005
0.05,-1.789832,-1.100773,-5.306721,-1.7924120857142856,-1.28346474330705,-5.305369306421198,-1.7898707166679526,-1.4855643784601664,-99.58123481815785
0.06666667,-1.813215,-0.7055953,-8.763628,-1.8055105714285713,-0.5893548821290153,-8.763939351564659,-1.81314772602647,-0.38888830018726317,231.18233789068566
0.08333333,-1.813351,-1.007675,6.946523,-1.8239248857142858,-1.058839788232035,6.945425793259574,-1.8134464253097633,-1.2025080039392329,-328.8167413946834
0.1,-1.846804,-1.002732,-27.58946,-1.8344605428571428,-0.9506948098610479,-27.589874678332762,-1.846683842990539,-0.8375779184640695,372.6083428933826
0.1166667,-1.846776,-1.310152,11.9662,-1.8608916,-1.361479727704051,11.966395213443548,-1.8469191774802047,-1.472280020742042,-448.77244283853946
0.1333333,-1.890476,-1.309643,-33.35417,-1.8745729999999998,-1.2567047486590468,-33.353986658402164,-1.8903073659670495,-1.1255897278622187,490.3754443961244
0.15,-1.890431,-1.626802,16.95171,-1.9081388,-1.6791446641710763,16.95239321904444,-1.8906318364607912,-1.8936953258983689,-582.5479318154876
0.1666667,-1.944703,-1.629978,-81.96978,-1.921608657142857,-1.3680797263840532,-81.96888149815584,-1.944463524539163,-1.0477180153467676,684.0650060475313
0.1833333,-1.944763,-3.204415,0.9521076,-1.9768502285714284,-3.4670943065811315,0.9519424763682309,-1.945037976608,-3.708484670200053,-1003.3582818030285
0.2,-2.051516,-3.202599,-27.38313,-2.0172080857142856,-3.3357543328491346,-27.384160474904093,-2.051221055082422,-3.334610821500852,1048.2230539173884
0.2166667,-2.051516,-2.401791,68.43474,-2.081236828571429,-2.2673845465230897,68.43391548357636,-2.0518133698303296,-2.1726043847511014,-908.782560388405
0.2333333,-2.131576,-2.407481,-50.7866,-2.1033827714285716,-2.362194527561101,-50.78672254245021,-2.1312863031195124,-2.3868187328069506,883.0767357984048
0.25,-2.131766,-2.685016,36.24335,-2.161522657142857,-2.7309244538151347,36.24427121657823,-2.132038777445594,-2.7207951584560774,-923.1538267221182
0.2666667,-2.221077,-2.687201,-48.79324,-2.1902962285714285,-2.6733444653311267,-48.79283762571799,-2.2208470535031473,-2.8509034606173485,907.5408616886956
0.2833333,-2.221339,-2.772427,44.60529,-2.2526230857142857,-2.7879344424131034,44.60501072942566,-2.2214879326109775,-1.976362042320007,-802.5954717114548
0.3,-2.313491,-2.764552,,-2.2926349428571426,-1.9979724575483837,50.19040849526262,-2.313430304601158,-5.9085608002180905,330.7325644894982
0.3166667,-2.313491,,,-2.3187050142857144,-1.114920491301643,55.77580626110324,-2.313502152307705,9.048078822834306,1464.0606006904552
