t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-1.420025,,,-1.420043914285715,0.011195691894382707,1.8946209929342943,-1.4200148553540486,-0.08313700199650212,15.620480279556727
0.01666667,-1.419745,0.02756822,,-1.4196693428571432,0.029242798657276466,0.2710274873159993,-1.419826317814127,0.0700400593610754,2.7607634071038394
0.03333333,-1.419106,0.01573413,-1.352451,-1.4192194857142857,0.020229959540081666,-1.3525660183009904,-1.4188709013321437,0.008888564301544666,-10.098945749520468
0.05,-1.419221,-0.02319539,-0.8925372,-1.419309542857143,-0.03046493907012149,-0.8922821451531036,-1.4195548732404968,-0.056734149406102635,2.224221679547604
0.06666667,-1.419879,-0.01844585,-7.119659,-1.4190754285714287,0.015984968030060998,-7.1192286659128285,-1.4196210055462843,0.0830293017812759,14.54738910861567
0.08333333,-1.419836,-0.2203297,-3.005163,-1.4218145428571427,-0.2544244911510134,-3.0054736923780183,-1.4199553264260412,-0.3474645800703455,-66.20667559452484
0.1,-1.427223,-0.2175608,-16.60884,-1.4235823714285714,-0.1547096905806029,-16.60827642396964,-1.4271729287813537,-0.05251659701642508,101.60042648224508
0.1166667,-1.427088,-0.5919055,-2.794534,-1.4328551142857142,-0.6530936938126146,-2.7946173929475435,-1.427122578148912,-0.7325756242796798,-183.20734653999557
0.1333333,-1.446953,-0.5990892,-22.78576,-1.439125914285714,-0.540098919802162,-22.785337429986498,-1.4469269992476421,-0.5729370275305171,202.36405477672807
0.15,-1.447057,-0.9600608,-37.25612,-1.453490457142857,-0.8197933604132857,-37.25676525850304,-1.4470649582123798,-0.5653290048002408,-201.45109387501668
0.1666667,-1.478955,-2.162641,-5.916013,-1.4809495714285714,-2.5140049719900617,-5.916319191841694,-1.4789770509549853,-2.934744722594837,-82.8782236016998
0.1833333,-1.519145,-1.256986,-3.078021,-1.5073444571428571,-1.0363529272941463,-3.0785019716929583,-1.5190885999762553,-0.6599691583296734,355.8523832101578
0.2,-1.520855,-1.675214,14.33522,-1.537775942857143,-1.7532714934570137,14.335656943030244,-1.5209390753537462,-1.9785890427435882,-514.0864528716882
0.2166667,-1.574986,-1.625192,-38.59198,-1.5555433428571428,-1.5561318877362211,-38.591331348805284,-1.574889752307765,-1.4698620019930144,575.1335756675114
0.2333333,-1.575028,-1.989486,21.53253,-1.5966920285714286,-2.05000089999821,21.533056724831226,-1.575113291491197,-1.8932738360907178,-625.9431989977292
0.25,-1.641302,-1.990635,33.97797,-1.6242752857142857,-2.321650356699287,33.97769266052353,-1.6412567719718962,-2.9030512453713437,504.7701522301476
0.2666667,-1.641382,-0.005561588,-10.69548,-1.6404982,0.7081935836128253,-10.695557217727583,-1.6413614203036215,1.5808394806184118,33.29565875700182
0.2833333,-1.641487,-2.30295,-39.13211,-1.6611924571428571,-2.6871296257407664,-39.13235775612543,-1.6415831973483712,-3.4790617020916095,-640.4862294444858
0.3,-1.718147,-2.295245,-95.24233,-1.6871665142857142,-2.0217109565781044,-95.24224760205584,-1.7179847061352183,-1.4567247528199068,883.1661779971935
0.3166667,-1.717995,-3.928668,11.34552,-1.7583184285714284,-4.2001515996968095,11.34509747670893,-1.7182007550443008,-4.48517208963055,-1246.5791315885626
0.3333333,-1.849103,-3.933228,-32.70446,-1.8070452285714282,-4.103541792916431,-32.70432632542031,-1.8488807909133773,-4.164038489907938,1285.1153177000206
0.35,-1.849103,-2.915934,81.48064,-1.885052514285714,-2.7299295401409296,81.48104550406481,-1.849320431534922,-2.4603739065473644,-1080.6759765754337
0.3666667,-1.946301,-3.014677,-10.07812,-1.9172890285714286,-3.23334853330293,-10.078416829148182,-1.9460926795014033,-3.4925708335372514,956.8125930634145
0.3833333,-1.949592,-1.801284,68.87538,-1.9713699428571427,-1.5979868040263767,68.87543878368501,-1.9498122257291546,-1.6577857137801257,-736.6374979921786
0.4,-2.006344,-1.807711,-160.3492,-1.9770074285714285,-1.1634876730246617,-160.34901574615174,-2.006057511744183,-0.6699017129892102,855.1833409954022
0.4166667,-2.009849,-5.679451,-35.38336,-2.0615918857142854,-6.3422523154953865,-35.38322989550875,-2.010341905310152,-6.557927968201469,-1561.7450784973992
0.4333333,-2.195659,-5.574281,-42.67145,-2.1363600571428574,-5.796333407333194,-42.671143600967525,-2.19484605735716,-7.080534012937005,1499.0321022772298
0.45,-2.195659,-4.136894,120.2,-2.2470445428571426,-3.8973022053956043,120.20043348350146,-2.1965297880435783,1.3660379389485087,-485.44549522418447
0.4666667,-2.333555,-4.136894,,-2.2992979714285706,-2.612666203239019,33.955578463264814,-2.3330600290100265,-23.26208288344273,-2469.9230927255917
0.4833333,-2.333555,,,-2.3421192571428566,-2.7654473262481964,-52.289276556969774,-2.333668215865275,66.99730180365464,13301.092579855203
