t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-0.1941804,,,-0.10228197954360428,
0.01666667,-0.1958851,-0.05779845,,-0.05779800577980059,5.338078986888038
0.03333333,-0.196107,-0.2903895,-2.852254,-0.29039102903910247,-33.249236195772816
0.05,-0.2055648,-0.2795279,-15.99132,-0.2795279440944115,34.552786178884034
0.06666667,-0.2054246,-0.6128335,-1.22834,-0.6128340612834061,-74.54955697194343
0.08333333,-0.2259926,-0.6259768,-22.19421,-0.6259770625977059,72.97239712965936
0.1,-0.2262905,-0.956114,-56.72068,-0.9561109482779575,-112.58820904591265
0.1166667,-0.257863,-2.749449,-14.35237,-2.7494517494517514,-102.61307502960094
0.1333333,-0.3179388,-1.802273,8.605746,-1.8022758022758028,216.27396136894194
0.15,-0.3179388,-1.597312,34.6608,-1.5973078053843888,-191.67655329302
0.1666667,-0.3711825,-1.589989,-42.50806,-1.5899895899895888,192.55589271707345
0.1833333,-0.3709384,-2.034813,19.91965,-2.0348150348150336,-245.93483933823356
0.2,-0.4390096,-2.033729,-43.59117,-2.0337259325481356,246.06405574279282
0.2166667,-0.4387294,-2.280951,30.66319,-2.280953280953283,-275.73293261125247
0.2333333,-0.5150413,-2.288268,-67.01563,-2.288270288270289,274.8548934892895
0.25,-0.515005,-3.090349,25.47748,-3.0903448193103604,-371.1019955905335
0.2666667,-0.618053,-3.091439,-47.18341,-3.091443091443088,370.97242902831294
0.2833333,-0.618053,-2.920813,55.49863,-2.9208149208149203,-350.49708950361185
0.3,-0.7154134,-2.933135,-5.405714,-2.933127133745731,349.0175239285086
0.3166667,-0.7158241,-1.624234,75.90187,-1.6242346242346253,-191.95188862977813
0.3333333,-0.7695545,-1.519125,75.37129,-1.519129519129523,204.56447601721626
0.35,-0.7664617,1.426444,-166.5984,1.4264401471197046,148.90440438178635
0.3666667,-0.7220064,-5.757809,-147.6119,-5.757812757812756,-1011.0190948588711
0.3833333,-0.9583886,-7.091466,-60.99886,-7.091473091473089,850.9801748974716
0.4,-0.9583886,-3.991209,174.7153,-3.991204017591962,-478.9435242239876
0.4166667,-1.091429,-3.991209,-77.9678,-3.991215991215995,478.9449610559979
0.4333333,-1.091429,-4.269665,63.64718,-4.26966426966427,-512.358687642336
0.45,-1.233751,-4.269665,-82.74134,-4.269651460697078,512.3571505693473
0.4666667,-1.233751,-4.548122,68.42072,-4.548124548124542,-545.7771288834596
0.4833333,-1.385355,-4.548122,-11.00739,-4.548124548124542,545.7771288834596
0.5,-1.385355,-2.59511,-146.454,-2.5951148097703833,-311.4131543461367
0.5166667,-1.471859,-10.11725,-78.09866,-10.117270117270115,-591.2472247164226
0.5333333,-1.722597,-7.336503,168.274,-7.336507336507336,924.9380910262228
0.55,-1.716409,-1.35537,101.7344,-1.3553672892654256,-207.19717121048674
0.5666667,-1.767776,-5.232571,-153.8568,-5.232575232575227,-258.06839986594474
0.5833333,-1.890828,-6.918138,19.21882,-6.918126918126917,55.80260213133652
0.6,-1.99838,-4.439527,-105.5816,-4.439511120977767,241.6310334749022
0.6166667,-2.038812,-8.990791,-1.915475,-8.990798990798988,-787.7892122723647
0.6333333,-2.298073,-7.777838,143.0977,-7.7778377778377745,933.3442667176012
0.65,-2.298073,-0.9281881,,-0.9281981436037197,-111.38355446533794
0.6666667,-2.329013,,,-1.8563962872074455,
