t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-1.183219,,,-0.00779999843999812,
0.01666667,-1.183349,-0.002360491,,-0.0023700002369982306,0.6516000450000048
0.03333333,-1.183298,-0.1127919,-1.939805,-0.11277001127700316,-13.89959872020086
0.05,-1.187108,-0.116857,-12.28304,-0.11684997663000414,13.409994636002331
0.06666667,-1.187193,-0.415161,-3.049387,-0.41517004151700226,-49.20842478781095
0.08333333,-1.200947,-0.4108358,-16.58156,-0.4108500410850044,49.726824735970666
0.1,-1.200888,-0.691589,2.462873,-0.6915892392518365,-83.41534179457707
0.1166667,-1.224,-0.6865795,-23.74083,-0.6865806865806858,84.01672086506707
0.1333333,-1.223774,-1.033947,5.796634,-1.0339510339510332,-125.70107918079202
0.15,-1.258465,-1.041277,-41.03024,-1.0412679174641677,124.82230071029761
0.1666667,-1.258483,-1.710561,6.377027,-1.7105717105717146,-205.13982608710901
0.1833333,-1.315484,-1.710024,-30.45637,-1.710031710031712,205.20462602230947
0.2,-1.315484,-1.74386,28.83058,-1.7438365123269748,-209.25996295931134
0.2166667,-1.373612,-1.741062,-40.35056,-1.741051741051737,209.59539241383547
0.2333333,-1.373519,-2.047422,24.51185,-2.047442047442043,-246.3621556471453
0.25,-1.44186,-2.052642,-58.94461,-2.052625894748213,245.7386170445485
0.2666667,-1.44194,-2.742741,23.35789,-2.742722742722747,-328.5520444869041
0.2833333,-1.533284,-2.740319,47.05993,-2.740322740322742,328.8400441989053
0.3,-1.533284,-0.0,-0.2187104,0.0,0.0
0.3166667,-1.533284,-2.746698,-150.4619,-2.7467127467127423,-329.60684803292173
0.3333333,-1.624841,-5.761821,-16.02903,-5.761835761835764,-32.207190153763875
0.35,-1.725345,-3.348424,33.74984,-3.3484133031733956,321.81711273026133
0.3666667,-1.736455,-3.436539,55.79038,-3.4365334365334377,-332.39350194169964
0.3833333,-1.839896,-3.106173,-13.9241,-3.1061731061731,372.0366622986194
0.4,-1.839994,-2.292507,67.6885,-2.2925054149891677,-274.3945024208933
0.4166667,-1.916313,-2.275244,-143.2744,-2.2752622752622838,276.46533383846054
0.4333333,-1.915836,-5.319393,-13.18123,-5.319395319395319,-641.7605685439537
0.45,-2.093626,-5.333722,-53.65313,-5.333689332621329,640.0414398316785
0.4666667,-2.093626,-4.217415,110.5719,-4.217434217434218,-506.09413046862704
0.4833333,-2.234207,-4.217415,,-4.217434217434218,506.09413046862704
0.5,-2.234207,,,0.0,
