t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-1.283254,,,0.010139997971992228,
0.01666667,-1.283085,0.005316365,,0.005310000530996204,-0.5795999247594926
0.03333333,-1.283077,-9.327401e-05,-0.2124794,-9.000000899925824e-05,-0.06840001043997572
0.05,-1.283088,-0.00115508,-13.93556,-0.0011699997659970537,-0.06119997551976883
0.06666667,-1.283116,-0.406804,-6.882826,-0.40680004068000464,-48.614424367690894
0.08333333,-1.296648,-0.4044718,7.084447,-0.40446004044600375,48.89522433961097
0.1,-1.296598,0.003559486,13.98562,0.0035699960730037265,0.06839946396074534
0.1166667,-1.296529,0.003724102,-0.03281625,0.003720003720004112,-0.05039876159563839
0.1333333,-1.296474,0.002402735,-0.07316157,0.0024000024000048006,-0.10800108000459571
0.15,-1.296449,0.00112915,-53.69014,0.0011399977200040343,-0.04319982720016188
0.1666667,-1.296436,-1.563736,-27.0567,-1.5637515637515627,-187.7445384411419
0.1833333,-1.348574,-1.570281,26.6591,-1.5702915702915707,186.9597392259394
0.2,-1.348779,-0.007194641,53.63627,-0.007199985600029342,0.6119975520073563
0.2166667,-1.348814,-0.003330331,0.1610353,-0.0033300033300024986,-0.1476014940052153
0.2333333,-1.34889,-0.003125289,0.04143527,-0.0031200031200062394,0.17280146880481662
0.25,-1.348918,-0.00139177,-148.7585,-0.0013799972400052353,0.03599985600146709
0.2666667,-1.348936,-4.341778,-74.38276,-4.341784341784337,-520.8866048197393
0.2833333,-1.493644,-4.341218,74.44006,-4.341244341244342,520.9514047549391
0.3,-1.493644,-0.0,148.8418,0.0,0.0
0.3166667,-1.493644,-0.0,-0.0,0.0,0.0
0.3333333,-1.493644,-0.0,-165.4827,0.0,0.0
0.35,-1.493644,-4.826578,-82.74134,-4.826570346859307,-579.1872832485492
0.3666667,-1.65453,-4.826578,82.74134,-4.826584826584828,579.1890208121365
0.3833333,-1.65453,-0.0,165.4827,0.0,0.0
0.4,-1.65453,-0.0,-0.0,0.0,0.0
0.4166667,-1.65453,-0.0,-0.0,0.0,0.0
0.4333333,-1.65453,-0.0,-197.3063,0.0,0.0
0.45,-1.65453,-5.754766,-98.65314,-5.754738490523014,-690.5672377282871
0.4666667,-1.846355,-5.754766,98.65314,-5.754755754755751,690.569309432072
0.4833333,-1.846355,-0.0,197.3063,0.0,0.0
0.5,-1.846355,-0.0,-0.0,0.0,0.0
0.5166667,-1.846355,-0.0,-0.0,0.0,0.0
0.5333333,-1.846355,-0.0,-0.0,0.0,0.0
0.55,-1.846355,-0.0,-93.80491,0.0,0.0
0.5666667,-1.846355,-2.735976,-47.76154,-2.735972735972736,-328.318041588893
0.5833333,-1.937554,-2.761033,44.85616,-2.761052761052763,325.3084445984837
0.6,-1.93839,-0.07221186,94.38269,-0.07223985552028803,-2.649589401631226
0.6166667,-1.939962,-0.0192541,2.589392,-0.019230019230015973,9.01081109888707
0.6333333,-1.939031,0.04084017,1.532987,0.04086004086003675,-1.8000183096663376
0.65,-1.9386,0.01797705,-383.7382,0.01796996406007239,-0.9467962128102055
0.6666667,-1.938432,-11.15547,-191.853,-11.155481155481155,-1339.8726957293204
0.6833333,-2.310449,-11.16051,191.1503,-11.160521160521165,1339.267896334118
0.7,-2.310449,-0.0,382.6461,0.0,0.0
0.7166667,-2.310449,-0.0,-0.0,0.0,0.0
0.7333333,-2.310449,-0.0,,0.0,0.0
0.75,-2.310449,,,0.0,
