t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-0.5983074,,,-0.015407996918397372,
0.01666667,-0.5985642,-0.007306903,,-0.007305000730498635,0.9723599314918211
0.03333333,-0.5985509,0.001354626,0.2911603,0.001353000135300617,0.06659996461210994
0.05,-0.5985191,0.001463479,-0.01329123,0.0014609997078004373,-0.053639978544149994
0.06666667,-0.5985022,0.0007431845,-28.22734,0.0007440000743980871,-0.0323999796961282
0.08333333,-0.5984943,-0.8219704,-14.32571,-0.8219700821970098,-98.69327014773876
0.1,-0.6259012,-0.8283104,13.81673,-0.8283110888577999,97.93211400690791
0.1166667,-0.6261047,-0.01093189,28.09291,-0.01093201093200888,0.15335637118964757
0.1333333,-0.6262656,-0.00829502,0.1539138,-0.008295008295008682,0.16308331237100926
0.15,-0.6263812,-0.005763127,-119.8724,-0.0057629884740239,0.14075943696154006
0.1666667,-0.6264577,-3.503987,-59.87076,-3.503988503988505,-419.92950129822316
0.1833333,-0.7431807,-3.501692,60.1077,-3.5016935016935014,420.2049010228241
0.2,-0.7431807,-0.0,120.058,0.0,0.0
0.2166667,-0.7431807,-0.0,-0.0,0.0,0.0
0.2333333,-0.7431807,-0.0,-0.0,0.0,0.0
0.25,-0.7431807,-0.0,-57.20659,0.0,0.0
0.2666667,-0.7431807,-1.668525,-18.72497,-1.668529668529666,-200.22436112100405
0.2833333,-0.7987983,-1.380408,17.68395,-1.3804093804093795,234.7987265467076
0.3,-0.7891943,-0.174422,13.76298,-0.1744196511606972,-90.0788396842804
0.3166667,-0.8046123,-1.354316,-17.87381,-1.3543183543183543,-51.509030573081574
0.3333333,-0.8343382,-0.9103598,30.61228,-0.910362910362914,104.7835772986412
0.35,-0.8349577,-0.02486137,30.6915,-0.0248609502780999,1.477074091697637
0.3666667,-0.8351669,-0.00903852,-250.8284,-0.009036009036009077,0.42191759087544417
0.3833333,-0.8352589,-7.338929,-125.5003,-7.338940338940336,-880.0086780058721
0.4,-1.079798,-7.336169,125.8575,-7.336158327683342,880.3372386475219
0.4166667,-1.079798,-0.0,251.5258,0.0,0.0
0.4333333,-1.079798,-0.0,-0.0,0.0,0.0
0.45,-1.079798,-0.0,-0.0,0.0,0.0
0.4666667,-1.079798,-0.0,-236.0692,0.0,0.0
0.4833333,-1.079798,-6.885351,-118.0346,-6.8853668853668815,-826.2423737592793
0.5,-1.30931,-6.885351,118.0346,-6.885346229307537,826.2398950371154
0.5166667,-1.30931,-0.0,236.0692,0.0,0.0
0.5333333,-1.30931,-0.0,-0.0,0.0,0.0
0.55,-1.30931,-0.0,-0.0,0.0,0.0
0.5666667,-1.30931,-0.0,-285.5313,0.0,0.0
0.5833333,-1.30931,-8.327996,-142.7542,-8.327978327978323,-999.3554006466021
0.6,-1.586909,-8.327661,142.7734,-8.32762334475332,999.3920024279985
0.6166667,-1.586898,0.0003946689,285.5276,0.00039000038999495126,-0.032399924400499505
0.6333333,-1.586896,8.945807e-05,-0.01199794,9.000008999934731e-05,-0.0036000395990448946
0.65,-1.586895,2.98116e-05,-0.002556078,2.999994000431337e-05,-0.0035999856005463956
0.6666667,-1.586895,-0.0,-314.7745,0.0,0.0
0.6833333,-1.586895,-9.180892,-157.0986,-9.180909180909179,-1101.7068982953099
0.7,-1.892925,-9.172488,157.4675,-9.1724816550367,1102.7115891492392
0.7166667,-1.892645,0.006557477,314.5845,0.006570006570005645,-1.2276000900081616
0.7333333,-1.892706,-0.002231251,-0.2630778,-0.002220002220006105,0.1728011448046444
0.75,-1.892719,-0.0003839192,-337.3834,-0.0003899992200027819,0.046799812800708135
0.7666667,-1.892719,-9.842389,-168.7135,-9.842409842409838,-1181.093905464804
0.7833333,-2.220799,-9.842389,168.7267,-9.842409842409838,1181.093905464804
0.8,-2.220799,-0.0,337.4533,0.0,0.0
0.8166667,-2.220799,-0.0,-0.0,0.0,0.0
0.8333333,-2.220799,-0.0,-0.0,0.0,0.0
0.85,-2.220799,-0.0,-29.22761,0.0,0.0
0.8666667,-2.220799,-0.852472,,-0.8524808524808521,-102.29811149014837
0.8833333,-2.249215,,,-1.7049668198672818,
