t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-0.9040707,,,-0.9046490028571431,0.4273952880665958,-48.341840918159384,-0.9040779359020366,-0.7285602575210338,113.79484433152213
0.01666667,-0.9055564,-0.0523478,,-0.9032431885714286,-0.1988950307813635,-26.812847034219928,-0.9055141529669959,0.2503109359657574,3.669675393988854
0.03333333,-0.9058156,-0.4065687,-5.283815,-0.9092854171428572,-0.4663680672638719,-5.283853150279867,-0.9059310092857336,-0.6062366553689642,-106.45542746845628
0.05,-0.9191086,-0.4019646,-18.18068,-0.9136374057142858,-0.3450223099553753,-18.180698705703264,-0.9189004617945901,-0.23489893429316633,151.0159450854485
0.06666667,-0.9192145,-0.7390308,1.171682,-0.9266389257142856,-0.7960249079501835,1.171743884448972,-0.9195149990514284,-0.8992852762598912,-230.74229017618646
0.08333333,-0.943743,-0.7341312,-23.39624,-0.934417517142857,-0.680228139543722,-23.39610070121745,-0.9433502037032221,-0.5689163519445684,270.38657695173987
0.1,-0.9436855,-1.052631,7.223386,-0.9548482599999999,-1.1059027881944274,7.22337110648715,-0.9441741478266412,-1.2636991339064712,-353.7604941123847
0.1166667,-0.9788307,-1.051489,-58.19178,-0.9634091742857143,-0.8563322873354267,-58.19119580641188,-0.9782659778064198,-0.6611088419015001,426.07118453160035
0.1333333,-0.9787351,-2.22128,-2.028022,-1.00083616,-2.415749668500659,-2.0278718885035687,-0.9792878830130185,-2.4123049912166534,-636.2155630269328
0.15,-1.052873,-2.224146,38.02995,-1.033800774285714,-2.5952993094013905,38.029579310102804,-1.0524889295576982,-3.0497450811344837,559.7229052221088
0.1666667,-1.052873,7.454988e-15,15.75922,-1.05418622,0.6647731704536639,15.758576965629459,-1.0529589869491929,1.3505131287875347,-31.69297609132499
0.1833333,-1.052873,-1.764502,-30.27985,-1.0679948000000001,-2.0584408831182373,-30.279478881963087,-1.0530744452852028,-2.457701763525308,-425.29463893667617
0.2,-1.11169,-1.765414,6.590108,-1.0946030285714285,-1.9447061105877808,6.589516499051456,-1.1113367297613719,-2.0276576248964187,476.89983236175595
0.2166667,-1.11172,-0.6904953,2.060872,-1.1187788285714286,-0.28483443033113787,2.0607346141965763,-1.1121106495550492,-0.05816325247033127,-240.56098034832914
0.2333333,-1.134707,-2.049641,-95.18146,-1.1334796571428571,-1.984151031697941,-95.18053356319876,-1.134258081441822,-1.8655603633564386,23.67245948791281
0.25,-1.180042,-3.801858,9.878608,-1.191682685714286,-4.343771312457392,9.87938905383362,-1.1806591977891432,-4.818334401710073,-378.00463542599687
0.2666667,-1.261435,-2.302387,-0.5086738,-1.2355805714285715,-2.0151809696380596,-0.5091408205763628,-1.2605864705765282,-1.6001665959212645,764.1839997619257
0.2833333,-1.256788,-2.526087,35.02618,-1.2877558857142857,-2.5371749256501417,35.02528847013548,-1.2578295024798125,-2.6715850909397467,-892.754733447078
0.3,-1.345638,-2.683247,-32.12018,-1.316483914285714,-2.800149399701205,-32.12010009089943,-1.3444699877548396,-2.8124483191418874,875.8511798699283
0.3166667,-1.34623,-2.139048,59.71474,-1.3722417142857142,-2.0726458547083055,59.71553256620348,-1.3475177486249215,-2.2224736509083485,-805.0543612755409
0.3333333,-1.41694,-1.993345,-126.4411,-1.3839104285714288,-1.517531964936076,-126.44075137934499,-1.4154996695378625,-1.0830879008740966,941.781198186999
0.35,-1.412674,-4.702286,-12.26735,-1.461234142857143,-5.132444735110532,-12.268236641288922,-1.4142114629211993,-5.4501398189175045,-1465.8263802618444
0.3666667,-1.573683,-4.830242,-57.63106,-1.5205776857142856,-4.995290009419982,-57.63114090377667,-1.5722892926900567,-5.338428546699269,1479.2317061173808
0.3833333,-1.573683,-3.96807,-32.7952,-1.610630914285714,-3.1905786188427783,-32.793297398106915,-1.5745755735752978,-2.061556688661598,-1086.005510248076
0.4,-1.705952,-7.770804,-11.33734,-1.7033536571428571,-8.99700200599601,-11.33686893819231,-1.7058323411583791,-10.452993516463822,79.03510485262201
0.4166667,-1.832709,-4.216075,52.43521,-1.8031847999999997,-3.568467863064285,52.433790264630375,-1.8320243137948267,-2.467149803637243,879.2642240879107
0.4333333,-1.846487,-4.546747,66.60689,-1.8892383714285712,-4.670770658458693,66.60539072102904,-1.8477942119317108,-5.231465970328478,-1210.9834909679269
0.45,-1.984268,-4.133406,-73.69273,-1.9367927428571428,-3.981872036255936,-73.69119094922542,-1.9825932924056062,-3.709304742614686,1393.6424729756177
0.4666667,-1.984268,-4.629415,62.35539,-2.0357582857142855,-4.712040575918849,62.35637914566473,-1.9860565147414178,-4.818479790630457,-1526.7432125360313
0.4833333,-2.138581,-4.629415,-87.86441,-2.084965,-4.588040823918362,-87.86484854025366,-2.1369894146892614,-4.808261868447035,1527.969368102664
0.5,-2.138581,-4.87742,75.1099,-2.1936143714285716,-4.9187601624797,75.10855670833121,-2.1396354179920225,-3.592859438722,-1382.1213682316593
0.5166667,-2.301162,-4.87742,,-2.2644730857142843,-3.5429286284284167,89.99089717891121,-2.3007279322362493,-10.29317458937428,578.0851582258077
0.5333333,-2.301162,,,-2.310334228571426,-1.9190575904561438,104.87323764949208,-2.3012421612004577,15.676430545901617,2538.2799234676313
