t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-0.5133111,,,-0.5130855600000002,-0.1220977558044735,14.986740052979012,-0.5133071696923128,0.33841879784442025,-50.14498032169183
0.01666667,-0.5127008,-0.04149267,,-0.51360296,0.02617394765210933,2.805828776673321,-0.5127243249149613,-0.15405063715892128,-8.951340059445076
0.03333333,-0.5146942,-0.06240428,-9.375157,-0.51334096,-0.028569942860123376,-9.375082499632526,-0.514627964882455,0.0400404137644389,32.24227548662247
0.05,-0.514781,-0.2863364,-2.854559,-0.5173543914285714,-0.3236738526522984,-2.8545314390057115,-0.5149022507335671,-0.3981379536470925,-84.82366905972752
0.06666667,-0.5242387,-0.2862267,-17.80117,-0.5199429142857143,-0.22309305381389422,-17.801157366727864,-0.5240751333695913,-0.14797858676262776,114.84278708203969
0.08333333,-0.5243219,-0.6649179,-0.9368857,-0.5308431028571428,-0.7316010367979331,-0.9369219665941841,-0.5244796369171276,-0.7338763370299138,-185.15054523721727
0.1,-0.5464027,-0.6435174,11.77082,-0.5405703142857142,-0.7503799992400069,11.770924344827165,-0.5463353126286989,-0.923346648324461,162.41411242915817
0.1166667,-0.5457725,0.01906284,-13.09043,-0.5448691057142857,0.3051213897572218,-13.090319067242888,-0.5456613903203168,0.6145454257346462,22.1325673645752
0.1333333,-0.5457672,-1.034697,-18.27414,-0.5545944685714286,-1.2108605782788509,-18.274144046207823,-0.5461016414866964,-1.4927737020189367,-275.01187421223267
0.15,-0.5802623,-1.031438,-31.37294,-0.5672652114285714,-0.9643665712668614,-31.372897365428116,-0.5797095734898634,-0.7720980557343475,361.49277880457413
0.1666667,-0.5801485,-1.430607,10.82694,-0.5954250914285714,-1.4965045069909912,10.826853835398651,-0.5809004667272114,-1.682610090784364,-470.75400448812474
0.1833333,-0.6279492,-1.434371,-63.40828,-0.60832848,-1.2468625062749936,-63.4079863678013,-0.6270101217901276,-1.0116165832397326,551.2735474716524
0.2,-0.6279609,-2.563178,5.238227,-0.6540221914285714,-2.751366497267014,5.238236189891666,-0.6290625009740906,-2.9401497646017325,-782.6970663880544
0.2166667,-0.7133885,-2.562829,-34.28578,-0.68490308,-2.609608280783444,-34.28554285769161,-0.7121762165809925,-2.557650760976226,828.596855023538
0.2333333,-0.7133885,-2.281765,48.91369,-0.7402822742857142,-2.235699028601953,48.91341577471286,-0.7146553741033681,-2.235894789043357,-789.9859839481094
0.25,-0.7894473,-2.277063,-50.72445,-0.7623556114285713,-2.2194530610938905,-50.724259959900564,-0.78816659669526,-2.176974325132641,797.0564254765122
0.2666667,-0.7892906,-2.617994,33.46746,-0.81835352,-2.6753726492547187,33.467266130801534,-0.7905252247704049,-2.712753717401076,-861.3498239619275
0.2833333,-0.8767138,-2.614628,-63.05832,-0.8451513142857141,-2.5261989476021185,-63.05801633911136,-0.8756708962418699,-2.722888247168234,860.1336755252748
0.3,-0.8764449,-3.141813,-75.02735,-0.9017720828571428,-2.689656620686769,-75.0271456054038,-0.8770569285260641,-1.9715037827864155,-769.9677201313674
0.3166667,-0.9814409,-6.381901,-14.87665,-0.9810226485714285,-7.382758234483568,-14.8761176383274,-0.9814762916906697,-8.436029712603847,-5.773839963602678
0.3333333,-1.089175,-3.616784,44.67474,-1.064425145714286,-3.149497201005623,44.6743298739309,-1.0884449622274852,-2.3342631486013197,737.9887565035732
0.35,-1.102,-3.65526,61.34241,-1.1359694371428573,-3.7257920484159257,61.341800346839364,-1.1032974270077223,-4.154830620372433,-956.4564161807876
0.3666667,-1.211017,-3.270496,-69.25756,-1.1725404571428573,-3.078128843742327,-69.25703725728886,-1.2093301876877722,-2.805711434166383,1118.3503947375561
0.3833333,-1.211017,-4.040024,42.87373,-1.2549899714285715,-4.16825166349669,42.87428564554318,-1.2129519458903435,-4.360045560272869,-1304.8712359536996
0.4,-1.345684,-4.040024,-73.21514,-1.2991826285714287,-4.020761958476108,-73.21496428270768,-1.3436065490115139,-3.9237416915670855,1357.2275954856746
0.4166667,-1.345684,-4.155454,67.17459,-1.3928362857142857,-4.174171651656707,67.17315987852078,-1.3478029969174665,-4.218128312059552,-1392.553919292123
0.4333333,-1.484199,-4.158492,-80.4186,-1.4359735714285715,-4.11463177073648,-80.41802118473709,-1.4821841962626536,-4.1478864372281405,1400.9829779881275
0.45,-1.484301,-4.424789,66.72336,-1.5340480285714286,-4.469671060657902,66.72367596217214,-1.485947730501851,-4.056543433346994,-1390.021839444667
0.4666667,-1.631692,-4.42175,75.90561,-1.5938002,-5.158164683670655,75.90569637691078,-1.6307973653250245,-6.376256759976824,1111.6567969791718
0.4833333,-1.631692,-0.0,-29.1264,-1.6292647428571427,1.6154967690064552,-29.12696920629287,-1.631511013390409,3.360286768089234,56.73309994834104
0.5,-1.631692,-5.27127,-90.36463,-1.676874314285714,-6.149802700394645,-90.36426711399906,-1.6329717138267037,-7.456275867314927,-1354.7180202270015
0.5166667,-1.807401,-5.27127,-82.44948,-1.7478174857142856,-5.309734380531282,-82.44944163047501,-1.8053116321903913,-4.819232114728592,1671.1626376481263
0.5333333,-1.807401,-5.040411,94.3222,-1.8656653714285716,-5.001934996130032,94.32167985576154,-1.8099317408292688,-5.11945826034542,-1707.1899192312717
0.55,-1.975415,-5.040411,-107.5141,-1.9160512571428572,-4.937805124389769,-107.51408422894758,-1.9727100209282846,-4.834504183642339,1741.3843400467997
0.5666667,-1.975415,-5.656034,75.85352,-2.0382966285714286,-5.758643482713055,75.8532394438821,-1.9780819050582121,-5.809494032356847,-1858.3828878954457
0.5833333,-2.16395,-5.656034,-99.59897,-2.099089657142857,-5.643218713562604,-99.59771589445313,-2.1616559327183986,-5.938006968249076,1842.9612739019224
0.6,-2.16395,-5.732987,95.54738,-2.229242,-5.745318509363031,95.54721781074704,-2.165447979275166,-4.164594410456436,-1630.1521925849672
0.6166667,-2.355049,-5.735729,,-2.311520999999999,-4.11578176843643,99.99680001240054,-2.354436466807115,-12.104042125040507,677.4203722985208
0.6333333,-2.355141,,,-2.3660229999999984,-2.4120851758296187,104.44638221405302,-2.355253717608589,18.415831328917506,2984.979091774302
