t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-1.14709,,,-0.02321999535600916,
0.01666667,-1.147477,-0.007768971,,-0.007770000777000354,1.8540000910810932
0.03333333,-1.147349,-0.3019137,-5.167537,-0.30192003019199853,-37.15199656128158
0.05,-1.157541,-0.3133013,-15.77102,-0.313289937342012,35.78758568496421
0.06666667,-1.157792,-0.6127832,0.2241538,-0.6127800612780079,-71.72643640537542
0.08333333,-1.177967,-0.6056232,-20.19663,-0.6056100605610112,72.58683631933498
0.1,-1.177979,-0.899412,5.231292,-0.8993990106610917,-107.84126561407894
0.1166667,-1.207947,-0.9023779,-27.41588,-0.9024009024008994,107.48149009951567
0.1333333,-1.208059,-1.251191,9.472311,-1.2512112512112494,-149.33864824244128
0.15,-1.249654,-1.24836,-32.23839,-1.2483575032849925,149.68020127859646
0.1666667,-1.249671,-1.567804,15.95524,-1.5678015678015664,-188.01454043914967
0.1833333,-1.301914,-1.566394,-38.43946,-1.566391566391568,188.18374026994988
0.2,-1.301884,-1.904855,20.88573,-1.9048461903076226,-228.79708481074607
0.2166667,-1.365409,-1.910557,-48.20646,-1.9105519105519113,228.11376843067478
0.2333333,-1.365569,-2.360397,25.01974,-2.3604023604023556,-282.0957144488357
0.25,-1.444089,-2.356214,-92.14903,-2.356225287549425,282.5952696177907
0.2666667,-1.44411,-3.870586,14.43157,-3.8706038706038735,-464.3231220673512
0.2833333,-1.573109,-3.86997,-34.41085,-3.8699738699738715,464.39872199175164
0.3,-1.573109,-2.939251,80.37551,-2.9392441215117535,-352.70858916423134
0.3166667,-1.671084,-2.99531,-64.08813,-2.9952929952929916,345.9848136669159
0.3333333,-1.672952,-3.366892,44.97819,-3.366873366873369,-390.57436907745154
0.35,-1.783313,-3.310833,-79.97765,-3.31082337835324,397.29801080636764
0.3666667,-1.783313,-4.044157,44.18587,-4.044184044184043,-485.3040265181919
0.3833333,-1.918119,-4.044157,-71.67852,-4.044184044184043,485.3040265181919
0.4,-1.918119,-4.112702,68.49729,-4.1126917746164535,-493.5220259099233
0.4166667,-2.055209,-4.10267,-80.0759,-4.102654102654107,494.72951250750845
0.4333333,-2.054874,-4.386882,65.45929,-4.386874386874384,-528.8358784012081
0.45,-2.201438,-4.396914,-84.77613,-4.39691120617759,527.6282894847308
0.4666667,-2.201438,-4.661062,70.8474,-4.661074661074656,-559.3311966537442
0.4833333,-2.356807,-4.661062,,-4.661074661074656,559.3311966537442
0.5,-2.356807,,,0.0,
