t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-0.07367518,,,-0.005051998989599758,
0.01666667,-0.07375938,-0.3182077,,-0.31820793182079277,-37.57872697123395
0.03333333,-0.08428211,-0.3230357,-20.46689,-0.32303583230358335,36.99937902916867
0.05,-0.08452724,-0.7609945,-1.677095,-0.7609945478010907,-89.55439217823952
0.06666667,-0.1096486,-0.7450944,-24.28369,-0.7450938745093874,91.46252746913338
0.08333333,-0.1093637,-1.088175,6.908766,-1.0881751088175107,-132.6322673521601
0.1,-0.1459211,-1.096223,-30.32798,-1.0962227941549263,131.6662287263059
0.1166667,-0.1459045,-1.424131,12.98557,-1.4241314241314253,-171.01597472063054
0.1333333,-0.1933921,-1.430041,-48.75837,-1.4300414300414306,170.30677542982832
0.15,-0.1935725,-2.136641,12.40186,-2.1366377267245453,-255.09713961042092
0.1666667,-0.2646135,-2.131229,-35.69436,-2.1312321312321303,255.74734425316703
0.1833333,-0.2646135,-2.112112,36.98591,-2.112113112113112,-253.45306654744022
0.2,-0.3350172,-2.108529,36.36841,-2.1085247829504357,253.8821444704066
0.2166667,-0.3348978,0.006480454,-13.48424,0.006480006480006303,-0.0820778313539494
0.2333333,-0.3348012,-2.502162,-42.98271,-2.5021645021645003,-300.9546611325088
0.25,-0.4183032,-2.501161,-59.80946,-2.501154997690006,301.0739957028127
0.2666667,-0.4181732,-2.992125,34.46052,-2.992127992127992,-359.9927971545505
0.2833333,-0.5180407,-2.996024,-30.08027,-2.996027996027995,359.5247976225492
0.3,-0.5180407,-2.371454,-34.74833,-2.3714502570994838,-284.57346170501404
0.3166667,-0.5970892,-5.195244,-58.12849,-5.195249195249192,-54.28205885426343
0.3333333,-0.6912155,-4.293036,-0.6482627,-4.2930402930403,162.54691058962734
0.35,-0.7401904,-4.53688,54.60447,-4.536869926260146,-191.80543277750033
0.3666667,-0.8424448,-3.499599,3.182374,-3.4996024996024975,316.2791727039748
0.3833333,-0.8568437,-3.126227,64.40139,-3.126231126231124,-271.47469750836046
0.4,-0.9466524,-2.752373,-175.5994,-2.7523654952690095,316.33685465131487
0.4166667,-0.9485894,-6.929801,-24.42952,-6.92981492981494,-817.6346900092976
0.4333333,-1.177646,-6.871689,43.00892,-6.871704871704868,824.6078830361175
0.45,-1.177646,-2.23953,112.6828,-2.2395255209489577,-268.74252502882524
0.4666667,-1.252297,-4.704872,-173.2223,-4.704874704874706,-27.098947953005766
0.4833333,-1.334475,-7.404753,32.94854,-7.4047574047574045,-296.8863280623663
0.5,-1.499122,-4.980907,87.51435,-4.980890038219918,587.7480490054537
0.5166667,-1.500505,-2.403294,34.43434,-2.4033024033023995,-278.4398220707375
0.5333333,-1.579232,-5.136723,-91.72125,-5.136725136725136,-49.570249919846276
0.55,-1.671729,-5.285061,85.24525,-5.28502942994115,31.773472905979215
0.5666667,-1.7554,-2.518009,-177.9845,-2.5180225180225158,300.26849405128564
0.5833333,-1.755663,-9.225144,-71.8136,-9.225159225159226,-1105.1232891981042
0.6,-2.062905,-9.217271,158.2803,-9.217241565516888,1106.06677572848
0.6166667,-2.062905,-0.0,223.6583,0.0,0.0
0.6333333,-2.062905,-2.693906,-47.72604,-2.69391269391269,-323.2688767317687
0.65,-2.152702,-2.738962,,-2.7389645220709533,317.8607285558141
0.6666667,-2.154204,,,-0.09011981976035444,
