t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-1.372979,,,-1.3729668000000004,-0.048089903820204116,9.028763884909885,-1.3729777214155297,-0.016366521816323622,4.115033717460026
0.01666667,-1.372741,0.03444506,,-1.3727898000000003,0.05279989440022032,3.077987688037917,-1.3727496284808967,0.03949780915134001,2.588684657915935
0.03333333,-1.371831,0.03797048,-2.873419,-1.3717578,0.05450989098022063,-2.8727885088334233,-1.3718024568862186,0.06992297341541137,1.0623365141810963
0.05,-1.371475,-0.05766418,-2.033164,-1.3720957428571428,-0.07306985386028941,-2.0334775803659113,-1.3715398471322395,-0.10142900662393416,-21.624570006455862
0.06666667,-1.373753,-0.06084628,-7.167837,-1.372397257142857,-0.03337493325012275,-7.168085613342441,-1.373633523306903,0.00620116327545267,34.54018781125872
0.08333333,-1.373503,-0.228801,-1.90783,-1.375782057142857,-0.2552044895910228,-1.908506651679204,-1.3736985467036706,-0.311941325943878,-72.71730178842398
0.1,-1.38138,-0.2383938,-16.90373,-1.3776293142857143,-0.17895964208072002,-16.902960959516008,-1.3810845209319134,-0.09961480720190002,98.19647894162591
0.1166667,-1.38145,-0.6047203,-2.194034,-1.3872723142857144,-0.6661036677926617,-2.193419797739125,-1.3818665392052984,-0.7598390210677157,-177.42322615202943
0.1333333,-1.401537,-0.6026558,-23.09769,-1.3935863999999998,-0.5398839202321568,-23.09750760987663,-1.400986361474646,-0.44338276218147354,215.39812911799038
0.15,-1.401538,-0.9771013,3.905605,-1.4116337714285714,-1.0394779210441598,3.9044415250762086,-1.402227598985748,-1.1316447800762524,-297.98940608280986
0.1666667,-1.434107,-0.9772666,-25.90801,-1.4221794285714284,-0.9328031343937369,-25.907553512538584,-1.4332764065463848,-0.8422346060336066,332.71855750962453
0.1833333,-1.434114,-1.24431,12.15943,-1.4475661714285715,-1.2887674224651562,12.159208505975585,-1.435083152383437,-1.4133898947593,-401.2574663123429
0.2,-1.475584,-1.24458,-54.51563,-1.4586048571428571,-1.0832978334043304,-54.51509622511048,-1.474521838837972,-0.9283506675050013,459.46205717367695
0.2166667,-1.4756,-2.212521,4.742381,-1.4981108857142855,-2.3739302521394947,4.742209602571961,-1.4765933824361457,-2.3450339010553156,-629.4637051964188
0.2333333,-1.549335,-2.212059,37.94239,-1.5303763714285714,-2.580664838670323,37.9423053734846,-1.5486911995759187,-3.0420812991711954,545.8176828384237
0.25,-1.549335,0.0001617967,8.070436,-1.550006057142857,0.6983036033927874,8.070653431640721,-1.5493941356869527,1.4091445641311973,-11.67164753420746
0.2666667,-1.54933,-1.97659,-33.80608,-1.5662816285714285,-2.306410387179234,-33.80592191903281,-1.5498251210987033,-2.7986024232438216,-493.25698109353823
0.2833333,-1.615221,-1.974306,-41.59765,-1.5919629428571427,-1.936256127487745,-41.59731932484078,-1.6145232598367247,-1.938048308655644,596.5238879117466
0.3,-1.61514,-2.200256,-56.09544,-1.6325165142857143,-1.8191263617472941,-56.09600418718696,-1.615528042074298,-1.2758061650603616,-517.0549896181093
0.3166667,-1.688563,-4.712997,-5.217494,-1.6912044571428573,-5.4995740008520215,-5.216893418118616,-1.6888988959355886,-6.346314753722925,-91.40482410176973
0.3333333,-1.77224,-2.506229,10.56203,-1.7479762571428572,-2.031510936978137,10.561843466871096,-1.771057614342576,-1.3342951396385487,692.8495835709335
0.35,-1.772104,-3.147758,37.03251,-1.8067491142857142,-3.278608442783124,37.032023300331275,-1.7739636986286458,-3.6282619232780133,-968.1250470567427
0.3666667,-1.877165,-3.004059,-56.97499,-1.839421314285714,-2.9541890916218136,-56.97440067359696,-1.8749343222595023,-2.8504271967559243,1061.4650275594322
0.3833333,-1.87224,-3.159734,49.08682,-1.9108828285714283,-3.16227867544265,49.08734650756139,-1.874538472379257,-3.073398857192009,-1088.2217338385874
0.4,-1.982489,-3.299992,-19.22744,-1.9477369999999998,-3.5294929410141407,-19.22752308982956,-1.980350154966841,-3.830734473567697,997.3416416336895
0.4166667,-1.982239,-2.063032,32.90555,-2.0057614,-1.637506724986551,32.90386838439622,-1.9841397893304817,-1.3318608433624353,-697.4774057375295
0.4333333,-2.051257,-3.37927,-113.4136,-2.034188028571428,-3.330203339593325,-113.41240349278792,-2.049498656957086,-3.2886330794042236,462.6637981580843
0.45,-2.094882,-4.990025,30.04979,-2.1211113428571426,-5.47528404943192,30.049594087218793,-2.096610401779795,-5.758370311465596,-759.0316732696981
0.4666667,-2.217591,-3.689099,18.9662,-2.182437171428572,-3.6537726924546234,18.966781275657695,-2.2160212029237423,-3.6518840007348796,1011.8095250016809
0.4833333,-2.217852,-2.600099,81.91027,-2.2505222571428574,-2.419900160199674,81.90995807412787,-2.2189229895984566,-1.650268003970155,-771.6146446103926
0.5,-2.304261,-2.592295,,-2.2824808285714275,-1.5953153807977916,17.040017554147283,-2.303813565866725,-5.5496022611376254,303.69546958864544
0.5166667,-2.304261,,,-2.3097060428571417,-1.8518984390602538,-47.82992296583188,-2.304343952031732,8.472934562016063,1379.005583787687
