file,n,dt,g_newton,rmse_ay_newton
001.txt,33,0.01666669999999998,-9.268227924200563,401.7838299801074
002.txt,25,0.016666684999999994,-10.037420641163607,327.0140180443538
003.txt,30,0.01666669999999998,-7.793865140199468,293.54844768557473
004.txt,33,0.01666669999999998,-9.96029562531778,415.20571755550617
005.txt,33,0.01666669999999998,-9.026360442567707,562.0355377198894
006.txt,22,0.01666667000000001,-8.460072777985653,214.1279189206079
007.txt,29,0.01666669999999998,-7.030778792351788,247.3098430963246
008.txt,22,0.01666667000000001,-8.660880792721589,272.7836715293512
009.txt,33,0.01666669999999998,-12.44254238927817,344.0064655983967
010.txt,25,0.016666684999999994,-5.218976142456112,292.71589610757246
011.txt,22,0.01666667000000001,-7.5286186917185,225.61422835562627
012.txt,31,0.01666669999999998,-7.645139725794998,370.2988208822094
013.txt,20,0.01666667000000001,-8.788508136953418,289.77039850840794
014.txt,23,0.016666684999999994,-9.397883403909765,246.7587480068021
015.txt,33,0.01666669999999998,-9.070485760202121,442.90775295931695
016.txt,22,0.01666667000000001,-6.217176607923659,316.8999869134691
017.txt,23,0.016666684999999994,-9.368108875790234,336.2122827664392
018.txt,17,0.016666670000000005,-12.031726037512335,244.99686517499566
019.txt,31,0.01666669999999998,-6.046468130162059,373.2672510120254
020.txt,33,0.01666669999999998,-9.450020204798273,435.0978134534933
021.txt,33,0.01666669999999998,-9.959337163441798,470.33020259701203
022.txt,55,0.016666699999999923,-4.056167392296814,404.81629290640456
023.txt,60,0.016666699999999923,-3.0950940368491717,422.03531175936274
024.txt,44,0.016666699999999923,-2.5706601989516384,305.1028966056984
025.txt,44,0.016666699999999923,-3.0700433561307188,316.14601748841204
026.txt,49,0.01666669999999995,-2.952887998554147,374.854162173807
027.txt,48,0.016666699999999923,-3.5031455122357906,346.3468436615929
028.txt,53,0.016666699999999923,-2.543114726804704,418.8944365477471
029.txt,48,0.016666699999999923,-4.633520012356179,393.09251202202057
030.txt,62,0.016666699999999923,-3.6740354123929153,489.6431143825587
031.txt,54,0.016666699999999923,-3.0986056713984236,460.96536528995114
032.txt,50,0.016666699999999923,-1.8429421738316238,401.9041563121065
033.txt,59,0.016666699999999923,-3.5077489290220276,534.7081290091439
034.txt,64,0.016666699999999923,-3.551604057834404,478.1100600407366
035.txt,45,0.016666699999999923,-5.137551972332103,389.81986735693624
036.txt,40,0.01666669999999998,-3.7980376399409277,290.2618243277555
037.txt,60,0.016666699999999923,-3.1018173433477005,535.7134456322117
038.txt,55,0.016666699999999923,-4.564768386751806,523.0173709164743
039.txt,44,0.016666699999999923,-4.280826741599034,361.40470487904406
040.txt,49,0.01666669999999995,-3.613164731227659,399.01229652738755
041.txt,36,0.01666669999999998,-2.1194328274997707,243.59371572215792
042.txt,50,0.016666699999999923,-3.761432744227016,409.72153350212443
043.txt,58,0.016666699999999923,-3.740033266486978,456.6367442425318
044.txt,46,0.016666699999999923,-3.106468699087011,342.78591275092657
045.txt,60,0.016666699999999923,-4.435256860822941,523.0394114621586
046.txt,46,0.016666699999999923,-4.707262716101257,346.03372943384244
047.txt,45,0.016666699999999923,-4.712565156530052,329.6980834113571
048.txt,44,0.016666699999999923,-2.2077996392671584,295.75006292968516
049.txt,38,0.01666669999999998,-3.2326376635803173,245.74381104715454
050.txt,45,0.016666699999999923,-4.678080557997228,380.5197723609046
051.txt,44,0.016666699999999923,-1.2504455469125275,326.7271397558141
052.txt,57,0.016666699999999923,-2.7310925771506582,354.8991426474888
053.txt,41,0.01666669999999995,-3.257044566182586,275.3203483941121
054.txt,62,0.016666699999999923,-3.101284370448224,438.1165290770966
055.txt,54,0.016666699999999923,-4.262111599904421,416.62023053090695
056.txt,39,0.01666669999999995,-4.115821194502763,281.28939019133196
057.txt,44,0.016666699999999923,-3.3442387081327194,309.2079128758056
058.txt,47,0.01666669999999995,-3.1870269573648433,347.86158852882363
059.txt,40,0.01666669999999998,-2.2876442409951077,228.82997091440018
060.txt,58,0.016666699999999923,-3.712625242553357,472.5150340373566
061.txt,55,0.016666699999999923,-3.2883183416681905,394.31734737802805
062.txt,61,0.016666699999999923,-3.4077950352566386,497.1100677347066
063.txt,70,0.016666699999999923,-3.420244283110651,482.1391757185987
064.txt,30,0.01666669999999998,-7.629592075927067,314.6506190308565
065.txt,29,0.01666669999999998,-8.743204039848113,330.0030109148937
066.txt,36,0.01666669999999998,-8.381086137455142,386.1146154211582
067.txt,23,0.016666684999999994,-10.882732358557423,272.44554058357807
068.txt,40,0.01666669999999998,-7.921358793472725,396.03905542290636
069.txt,38,0.01666669999999998,-9.102144193141847,470.62110657958516
070.txt,31,0.01666669999999998,-8.713238098960272,346.41642506030007
071.txt,36,0.01666669999999998,-9.051668982916464,353.52547459923363
072.txt,32,0.01666669999999998,-7.821939520849539,244.55929150108625
073.txt,32,0.01666669999999998,-10.684917844551837,409.7201184572965
074.txt,36,0.01666669999999998,-10.018668397152513,350.1784126383236
075.txt,20,0.01666667000000001,-11.869918013545854,233.21369008710423
076.txt,36,0.016666999999999987,-9.179879262942762,383.02288440374656
077.txt,21,0.016666670000000005,-12.42189287451584,257.2404253670728
078.txt,20,0.01666667000000001,-10.261433246990329,273.76661640149257
079.txt,34,0.01666669999999998,-8.299902601963396,575.1810134315895
080.txt,37,0.01666669999999995,-9.124019701860922,394.4127823743286
081.txt,24,0.01666667000000001,-6.9953943654068995,273.95240181457365
082.txt,36,0.01666669999999998,-7.050159317061995,431.88255851521507
083.txt,24,0.01666667000000001,-10.052418871527133,299.75637348308345
084.txt,35,0.01666669999999998,-8.527038155619659,421.64160122848835
085.txt,35,0.01666669999999998,-8.2406584561881,429.47083566288967
086.txt,26,0.01666669999999998,-8.259488411687549,309.9246537835928
087.txt,23,0.016666684999999994,-8.311205148774535,250.7793831977188
088.txt,34,0.01666669999999998,-9.497035546210391,383.0940066919627
089.txt,33,0.01666669999999998,-9.83382194976099,416.9835130181124
090.txt,41,0.01666669999999995,-9.8067967038769,448.3024844085883
091.txt,28,0.01666669999999998,-7.270057234315752,263.9020852060539
092.txt,24,0.01666667000000001,-7.709714579003798,249.29521121155088
093.txt,24,0.01666667000000001,-6.464644724779585,242.2455017050128
094.txt,28,0.01666669999999998,-8.863656359460872,353.2335384088937
095.txt,20,0.01666667000000001,-8.974508462717122,237.79450936278704
096.txt,35,0.01666669999999998,-10.167590225954562,604.0769197656201
097.txt,22,0.01666667000000001,-7.519528194879838,265.0815417289074
098.txt,24,0.01666667000000001,-7.228486229172775,306.38504002633067
099.txt,37,0.01666669999999995,-9.950945951552207,395.5262703671027
100.txt,26,0.01666669999999998,-9.961958568013507,262.4584048315907
101.txt,33,0.01666669999999998,-7.908504576101048,288.4568928982547
102.txt,40,0.01666669999999998,-9.165147701461997,517.5820135116138
103.txt,37,0.01666669999999995,-9.635027202933388,431.6168766873286
104.txt,21,0.016666670000000005,-9.350836260814898,272.1740884181263
105.txt,30,0.01666669999999998,-9.9401571201191,301.3442639868221
106.txt,33,0.01666669999999998,-9.99196920227795,324.04978244698765
107.txt,33,0.01666669999999998,-9.947856391215259,418.7689985168134
108.txt,33,0.01666669999999998,-8.567883934190592,395.411200004416
109.txt,40,0.01666669999999998,-10.563305241143755,426.9374258796088
110.txt,40,0.01666669999999998,-8.916138411847836,417.5687926062671
111.txt,41,0.01666669999999995,-9.979546338363015,477.3006977206988
112.txt,31,0.01666669999999998,-8.170173137615215,395.75257209447074
113.txt,27,0.016666684999999994,-9.010944013255457,327.3907139085493
114.txt,18,0.01666667,-10.082750448549852,280.1905050953747
115.txt,34,0.01666669999999998,-9.013460567003905,409.431001539909
116.txt,29,0.01666669999999998,-8.73639649333035,333.61772518082716
117.txt,34,0.01666669999999998,-9.233031406051623,357.97610450286425
118.txt,24,0.01666667000000001,-12.395254154069406,282.7976217901257
119.txt,36,0.01666669999999998,-9.810112487581527,354.7129137649949
120.txt,38,0.01666669999999998,-10.812100637768285,608.1634619420131
121.txt,31,0.01666669999999998,-9.27346129593364,373.35226407768806
122.txt,40,0.01666669999999998,-9.342595294146237,512.5979539974774
123.txt,35,0.01666669999999998,-9.465207564488102,458.2022208218502
124.txt,31,0.01666669999999998,-9.079329855758878,306.1385661631536
125.txt,41,0.01666669999999995,-9.51473800357803,473.7253209704413
126.txt,27,0.016666684999999994,-7.569410754516574,258.99235125645396
127.txt,35,0.01666669999999998,-9.242830235689844,411.4082966290072
128.txt,43,0.016666699999999923,-9.196682260492612,439.9641092284518
129.txt,21,0.016666670000000005,-11.862562076958657,245.16224654505962
130.txt,38,0.01666669999999998,-9.938203872737375,489.34037367099575
