file,n,dt,win_sg,rmse_vy_sg,rmse_ay_sg
001.txt,33,0.01666669999999998,5,1.0163784285699036,0.0004276561035538349
002.txt,25,0.016666684999999994,5,0.8105742827440618,0.0005900887417569769
003.txt,30,0.01666669999999998,5,0.741357720051419,0.0007131050479259592
004.txt,33,0.01666669999999998,5,1.0760125616454936,0.00045399074537480103
005.txt,33,0.01666669999999998,5,1.2333783310448228,0.0007715004904747804
006.txt,22,0.01666667000000001,5,0.3066715199823049,0.0005439793810586374
007.txt,29,0.01666669999999998,5,0.6508231260742282,0.0004972866826357773
008.txt,22,0.01666667000000001,5,0.7824743829909956,0.0005130927859308876
009.txt,33,0.01666669999999998,5,0.9615376656735032,0.0007304455142750518
010.txt,25,0.016666684999999994,5,0.7278992786910339,0.0004975614705020129
011.txt,22,0.01666667000000001,5,0.5431594613921615,0.0005504085528042283
012.txt,31,0.01666669999999998,5,0.8547781131494372,0.0007318309138132184
013.txt,20,0.01666667000000001,5,0.8234775797667195,0.0005989569168874994
014.txt,23,0.016666684999999994,5,0.7499700911166973,0.0005561735833327751
015.txt,33,0.01666669999999998,5,1.1134986014656156,0.0007214501656258949
016.txt,22,0.01666667000000001,5,0.8227211525154221,0.0004958993749381416
017.txt,23,0.016666684999999994,5,0.8123144095034833,0.0004589717872378147
018.txt,17,0.016666670000000005,5,0.6168544547742032,0.0007042146653088592
019.txt,31,0.01666669999999998,5,0.76756272782359,0.0005705788381887487
020.txt,33,0.01666669999999998,5,1.0533960113142335,0.0006442600618417246
021.txt,33,0.01666669999999998,5,1.2677485135416402,0.0005492169471564114
022.txt,55,0.016666699999999923,5,0.9473644729813195,0.0006841534450838052
023.txt,60,0.016666699999999923,5,0.7199231961421241,0.0005034288756996796
024.txt,44,0.016666699999999923,5,0.5721774977059171,0.0005505138599585052
025.txt,44,0.016666699999999923,5,0.6772719558355841,0.0006754274500818097
026.txt,49,0.01666669999999995,5,0.855180956825798,0.0005006179690398127
027.txt,48,0.016666699999999923,5,0.7566100001392312,0.0006467047790353897
028.txt,53,0.016666699999999923,5,0.8965658702994693,0.0005959953799142117
029.txt,48,0.016666699999999923,5,0.7645091362738511,0.0006343128660458861
030.txt,62,0.016666699999999923,5,1.0470131842798025,0.0007153904531658255
031.txt,54,0.016666699999999923,5,0.9841396473346029,0.0007911769409653922
032.txt,50,0.016666699999999923,5,0.855885961148172,0.0005919761153886116
033.txt,59,0.016666699999999923,5,1.0940504960269153,0.0007353231694549393
034.txt,64,0.016666699999999923,5,1.0356001205044936,0.0006768729768497001
035.txt,45,0.016666699999999923,5,0.8556221979694102,0.0007234543785906404
036.txt,40,0.01666669999999998,5,0.6144522138431823,0.0006729964098947377
