t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-1.727018,,,-1.7271976571428576,0.20929262692099482,-19.11544366028781,-1.7270194759104085,-0.18230768950897686,37.01818158117643
0.01666667,-1.726701,0.009328744,,-1.7259823714285716,-0.040538526836178666,-10.864261812897004,-1.726691908701166,0.11509255668238492,-1.3301591758174958
0.03333333,-1.726707,-0.1299322,-2.613436,-1.7277849428571428,-0.15284983186519696,-2.613079965504312,-1.7267338280332072,-0.226645940785737,-39.67847692381157
0.05,-1.731032,-0.1316639,-14.4652,-1.728548257142857,-0.07258492015658646,-14.465282462073446,-1.730978691765573,0.019870603056570457,69.26045626849259
0.06666667,-1.731096,-0.4879324,-3.843652,-1.7356164857142855,-0.5476443975911707,-3.8437629722861857,-1.7311807357132138,-0.6532796937531011,-150.0384757300493
0.08333333,-1.747296,-0.4858062,-19.7511,-1.7407882285714285,-0.4296195274185237,-19.75161368928093,-1.747177181095555,-0.32248180210420263,189.73423860622225
0.1,-1.74729,-0.8209072,2.526585,-1.7557133999999999,-0.8764640358895832,2.527194440171229,-1.7474447776296405,-0.9843227335691264,-269.15513449783384
0.1166667,-1.77466,-0.8227636,-25.14348,-1.7643702571428572,-0.7694241536334516,-25.142858971391775,-1.7744668824383327,-0.6523597304205843,308.9906152046975
0.1333333,-1.774715,-1.144538,8.402276,-1.786827457142857,-1.1975286827184561,8.401867230169728,-1.7749481852497664,-1.3568268854415493,-393.52701195280036
0.15,-1.812811,-1.148305,-58.2303,-1.796583914285714,-0.9612889425821578,-58.23090046337438,-1.8125474477841816,-0.774801624547317,463.36990357432495
0.1666667,-1.812992,-2.274197,0.4589532,-1.8356637714285713,-2.4631272905599957,0.45925613249528396,-1.8132461089692475,-2.4375790986509083,-662.9028014009602
0.1833333,-1.888618,-2.266589,39.10604,-1.8691672,-2.643397092263214,39.1067139651841,-1.8884424956688874,-3.1360776353337316,579.0826417183827
0.2,-1.888545,0.001869759,13.71463,-1.8897127714285713,0.6915892392518117,13.714426971102966,-1.8885870058494278,1.4204451578299215,-32.301000102027736
0.2166667,-1.888555,-1.867824,-31.90274,-1.904568657142857,-2.1803776015846523,-31.903644097656525,-1.8886361284388635,-2.5805568248739545,-447.81827758388266
0.2333333,-1.950806,-1.862229,20.2518,-1.9337655714285713,-2.1149026736070766,20.252012588406842,-1.9506684209293086,-2.272939609371636,484.7324911010149
0.25,-1.95063,-0.3407465,-0.5994908,-1.9540931142857143,0.19861478152371603,-0.5986272544460007,-1.9507732616813396,0.48756241640366105,-153.4729105271405
0.2666667,-1.962164,-2.055372,-125.3259,-1.9653533428571428,-1.9040629055308074,-125.3260099969093,-1.96199688315918,-1.7164291793816777,-111.00555201017544
0.2833333,-2.019142,-4.677739,-13.04423,-2.0306456285714285,-5.38353907810702,-13.044828444216591,-2.01938620213128,-5.9722178101231105,-399.69112646550946
0.3,-2.118089,-3.065358,15.54061,-2.0906696,-2.8427418729839644,15.541165809419226,-2.117759039232513,-2.4318735950938764,824.5315825881057
0.3166667,-2.121321,-2.788752,52.98596,-2.1516847714285716,-2.7378669883463402,52.98674057196695,-2.1216624393252688,-2.709973685047682,-857.9035266386743
0.3333333,-2.211047,-2.81735,-65.52089,-2.1799245714285713,-2.722202005577799,-65.52139870998303,-2.2108042254940914,-3.4764708640974438,765.9234972325851
0.35,-2.215232,-3.416661,,-2.235980285714286,-4.0996012047243875,-99.76632337110811,-2.2153349198766783,-0.24529020528715018,-378.1825936571564
0.3666667,-2.324936,,,-2.3197489285714283,-6.0477497760466035,-134.01124803222936,-2.3249167549228886,-16.082582531508972,-1522.2886845469018
