t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-0.9578057,,,-0.021017995796402376,
0.01666667,-0.958156,-0.01947113,,-0.019473001947302265,0.18539933605174758
0.03333333,-0.9584548,-0.003660969,-4.830012,-0.0036630003663004522,1.7118004742285078
0.05,-0.9582781,-0.1532141,-2.778474,-0.15321296935740375,-19.657792136882293
0.06666667,-0.9635619,-0.1666087,-11.45956,-0.16660801666079977,18.050397612192242
0.08333333,-0.9638317,-0.4122395,-1.558542,-0.41223904122390603,-47.52611466462155
0.1,-0.9773032,-0.4100932,6.96766,-0.41009354889709815,47.78345916647432
0.1166667,-0.9775015,-0.009915937,-12.42115,-0.009918009918008685,0.23759690471217768
0.1333333,-0.9776338,-0.7713883,-12.85547,-0.7713757713757723,-91.61234553014653
0.15,-1.003214,-0.7665918,-24.09263,-0.7665944668110677,92.18555125742634
0.1666667,-1.003187,-1.089967,7.648231,-1.089991089991088,-130.99385438554887
0.1833333,-1.039547,-1.089329,-21.28256,-1.0893310893310886,131.073054306349
0.2,-1.039498,-1.164579,17.75795,-1.1645676708646568,-140.100639596881
0.2166667,-1.078366,-1.155144,-73.98652,-1.1551511551511562,141.2314666096467
0.2333333,-1.078003,-2.734047,-7.264451,-2.734052734052732,-330.6992771422145
0.25,-1.169501,-2.744947,-28.11285,-2.744934510130977,329.39148243275224
0.2666667,-1.169501,-2.181531,56.64937,-2.1815421815421825,-261.7861089294972
0.2833333,-1.242219,-2.18344,-63.96365,-2.183432183432189,261.55930915629597
0.3,-1.242282,-2.957326,24.16377,-2.957304085391832,-354.4221823098517
0.3166667,-1.340796,-2.955418,-45.98512,-2.955422955422954,354.6500453506631
0.3333333,-1.340796,-2.82085,51.87228,-2.8208428208428247,-338.5004615002164
0.35,-1.434824,-2.852901,-55.90049,-2.85290429419141,334.65106139441616
0.3666667,-1.435893,-3.056882,48.19867,-3.0568830568830556,-359.13061874201145
0.3833333,-1.53672,-2.943496,-76.02744,-2.943482943482939,372.73860513405265
0.4,-1.534009,-3.721266,37.2049,-3.721282557434881,-466.07213570959385
0.4166667,-1.660763,-3.800321,-75.59986,-3.8003438003438075,456.58754505497586
0.4333333,-1.660687,-4.023822,-81.62922,-4.023814023814026,-483.4039182386541
0.45,-1.79489,-8.195364,-4.194491,-8.195323609352776,-17.179131283406946
0.4666667,-1.933865,-4.217742,208.6798,-4.217734217734214,494.4918706033784
0.4833333,-1.935481,-0.04847979,-15.79056,-0.048480048480050324,5.81762908812238
0.5,-1.935481,-4.65406,-78.12172,-4.654070691858613,-558.4873660483003
0.5166667,-2.090617,-4.65406,-79.78388,-4.6540846540846506,558.489041512074
0.5333333,-2.090617,-4.65406,79.78388,-4.6540546540546535,-558.4854415156742
0.55,-2.245752,-4.65406,-56.51358,-4.654040691918623,558.4837660627014
0.5666667,-2.245752,-3.975343,91.37595,-3.9753639753639796,-477.045585226016
0.5833333,-2.378264,-3.976599,81.74252,-3.9765939765939797,476.8979853736157
0.6,-2.378305,0.3958573,,0.39587920824159023,47.80060879737401
0.6166667,-2.365068,,,0.7942184115631852,
