t,y,vy_tracker,ay_tracker,vy_newton,ay_newton
0.0,-0.8556705,,,0.022157995568401895,
0.01666667,-0.8553012,-0.3166711,,-0.31667103166710153,-40.659499532060224
0.03333333,-0.8662262,-0.9579718,-5.60861,-0.9579720957972087,-36.29661277233017
0.05,-0.8872336,-0.63149,-12.72542,-0.6314908737018271,75.47432981026492
0.06666667,-0.8872759,-1.014654,4.0515,-1.0146541014654107,-121.45398081835324
0.08333333,-0.9210554,-1.019379,-27.85815,-1.0193791019379113,120.88698087505306
0.1,-0.9212552,-1.323488,12.26854,-1.3234875441637013,-157.3796308280939
0.1166667,-0.9651717,-1.317297,-57.16751,-1.3172983172983164,158.12300201987452
0.1333333,-0.9651651,-2.332028,2.712249,-2.332031332031337,-279.8907202524003
0.15,-1.042906,-2.404401,-36.07457,-2.4044021911956173,271.20455518069497
0.1666667,-1.045312,-2.254178,43.71475,-2.2541722541722486,-253.17851786107263
0.1833333,-1.118045,-2.184301,39.77266,-2.184302184302185,261.5629094766971
0.2,-1.118122,-0.004290058,-9.961995,-0.004289991420017289,0.03959984160121381
0.2166667,-1.118188,-2.474706,-42.2656,-2.4747024747024744,-296.49028387583115
0.2333333,-1.200612,-2.472398,-58.6732,-2.4723924723924737,296.7674835986313
0.25,-1.200601,-2.949492,34.20522,-2.9494741010518015,-354.0153839370489
0.2666667,-1.298928,-2.949808,-59.89812,-2.9498129498129506,353.97684602386244
0.2833333,-1.298928,-3.221617,45.90857,-3.221643221643215,-386.5964134043595
0.3,-1.406316,-3.221617,-24.6631,-3.22163355673288,386.59525361743886
0.3166667,-1.406316,-2.330149,37.39726,-2.3301323301323307,-279.61699808387243
0.3333333,-1.483987,-3.295938,-32.76654,-3.295923295923306,163.7223139783244
0.35,-1.51618,-2.60366,0.7094613,-2.603664792670414,-80.65047739776625
0.3666667,-1.570776,-3.611286,-112.5206,-3.611283611283605,-40.263780589984364
0.3833333,-1.636556,-6.053283,-9.824747,-6.05328605328605,-252.77592637089458
0.4,-1.772552,-4.951067,-25.3916,-4.951070097859808,385.0400598382186
0.4166667,-1.801592,-5.189537,-0.5039569,-5.189555189555201,-413.6606955645692
0.4333333,-1.945537,-6.689335,-11.76098,-6.689346689346691,233.68607553882956
0.45,-2.02457,-4.558896,-14.92072,-4.558880882238236,21.970712117063407
0.4666667,-2.0975,-7.032973,35.78286,-7.03296703296703,-318.86236959542083
0.4833333,-2.259002,-4.843817,45.70099,-4.843804843804841,581.5613068970093
0.5,-2.25896,-3.276861,110.4987,-3.276863446273107,-393.52522589752215
0.5166667,-2.368231,-3.260627,,-3.2606432606432567,395.4740171196245
0.5333333,-2.367648,,,0.03498013992057307,
