t,y,vy_tracker,ay_tracker,y_sg,vy_sg,ay_sg,y_spline,vy_spline,ay_spline
0.0,-1.783784,,,-1.7844220857142858,0.26083423354744556,-40.5550123494217,-1.7837858844773529,-1.0039240456699674,135.62506460419397
0.01666667,-1.787401,-0.1132701,,-1.7848486571428572,-0.26049280504428435,-22.004219769739436,-1.7873909569432895,0.22872607951050739,12.292920833865928
0.03333333,-1.787559,-0.4211035,-3.451986,-1.7913875142857143,-0.47263990547203605,-3.453427190055322,-1.7875813218701229,-0.5941588255297714,-111.03914893719065
0.05,-1.801438,-0.419767,-18.00386,-1.7958081999999997,-0.3662449267510084,-18.003592798559907,-1.8014143519630108,-0.3763008414627819,137.1821017966388
0.06666667,-1.801552,-0.739734,-33.95006,-1.8060519142857143,-0.6202848759430282,-33.94901499181924,-1.801550768998644,-0.4151377888529336,-141.84253455137045
0.08333333,-1.826096,-1.776443,-5.20497,-1.8287000857142857,-2.071364585727082,-5.204569346741323,-1.8261480115660866,-2.4152092069830005,-98.16613162770408
0.1,-1.860766,-1.043434,-3.963641,-1.8500679142857142,-0.8662248267550439,-3.9646269855753644,-1.860652507738481,-0.562338394395627,320.5105846692982
0.1166667,-1.860877,-1.373656,12.1471,-1.8755593428571427,-1.4288797142240526,12.146909426951652,-1.8610464260942106,-1.6171552541835856,-447.0883546883133
0.1333333,-1.906555,-1.372648,-32.44755,-1.8901708,-1.3285847342830692,-32.44678702128181,-1.9063402392696296,-1.192887088760025,498.0007381886746
0.15,-1.906632,-1.636035,18.90332,-1.9245212571428572,-1.6797496640500782,18.903078153055844,-1.9068847058541913,-1.8622440632781077,-578.3234144854919
0.1666667,-1.961089,-1.637002,-78.7577,-1.938221714285714,-1.390354721929043,-78.75819706814434,-1.9608115792512764,-1.1629582451808944,662.2375448288967
0.1833333,-1.961199,-3.117916,2.675799,-1.9925352857142857,-3.365299326940132,2.6758275010995476,-1.961460227924757,-3.3094648702163005,-919.8193701604466
0.2,-2.06502,-3.114633,53.50628,-2.0383326000000004,-3.633184273363142,53.50677859728785,-2.0648471099107812,-4.3254950495221145,797.8959924905043
0.2166667,-2.06502,-0.0,23.93798,-2.0670148285714287,0.921844815631033,23.93793328197171,-2.0650388572480978,1.9673290783354895,-42.75860742236114
0.2333333,-2.06502,-2.416442,-41.2826,-2.0857441714285714,-2.81986943602611,-41.282726344048115,-2.065168888114846,-3.6017435030755545,-625.5327755124957
0.25,-2.145568,-2.412297,-51.2261,-2.117093371428571,-2.3636195272761142,-51.22592236676928,-2.145290940136629,-2.0056699590716547,817.0612177360792
0.2666667,-2.14543,-2.700243,36.41744,-2.17555,-2.747539450492141,36.417585432966916,-2.14577726822427,-2.8850560613752783,-922.5873389602717
0.2833333,-2.235576,-2.704388,-54.43014,-2.2039963714285715,-2.666534466693122,-54.42992108516955,-2.2352135598425447,-2.640287691168745,951.9596608743432
0.3,-2.235576,-2.935595,46.33118,-2.2687927714285716,-2.9932444013511486,46.33043861068222,-2.235891439688642,-2.7744557858709307,-968.0598000383272
0.3166667,-2.333429,-2.820859,3.437635,-2.3032124,-3.0535343892931337,3.4379986248031855,-2.3332240563168503,-3.903743247014359,832.5455757295648
0.3333333,-2.329605,-1.310165,,-2.3497493999999994,-2.2982395403520917,87.19736512105115,-2.3296880483063696,1.5061184356241175,-183.35957706895175
0.35,-2.377101,,,-2.3720648999999994,-0.1469549706089816,170.95673161730252,-2.3770858502599292,-10.015824628146902,-1199.2708253227672
