	masa A						
t	x	y	vx	vy	ax	ay	
0.000	-5.471E-3	-1.350				
0.017	-1.416E-3	-1.358	0.124	-0.237		
0.033	-1.339E-3	-1.358	0.107	-0.467	-2.632	-8.637E-3
0.050	2.160E-3	-1.374	9.853E-2	-0.464	2.876	-21.78
0.067	1.945E-3	-1.374	0.135	-0.874	-0.696	0.902
0.083	6.675E-3	-1.403	0.152	-0.871	-1.857	15.04
0.100	7.024E-3	-1.403	1.559E-2	-8.121E-5	-0.830	-8.221
0.117	7.194E-3	-1.403	0.125	-1.110	1.780	-19.10
0.133	1.121E-2	-1.440	0.125	-1.113	3.160	-30.52
0.150	1.137E-2	-1.440	0.160	-1.446	-1.624	13.38
0.167	1.653E-2	-1.488	0.153	-1.443	1.612	-59.47
0.183	1.646E-2	-1.488	0.128	-2.458	-3.045	7.341
0.200	2.081E-2	-1.570	0.130	-2.459	0.911	-30.42
0.217	2.081E-2	-1.570	8.963E-2	-2.116	-3.171	48.18
0.233	2.380E-2	-1.640	8.273E-2	-2.112	-1.311	-67.76
0.250	2.357E-2	-1.640	3.124E-3	-3.032	-5.651	-72.87
0.267	2.390E-2	-1.742	-7.363E-2	-5.757	4.475	1.885
0.283	2.111E-2	-1.832	8.679E-2	-2.820	6.031	43.76
0.300	2.680E-2	-1.836	0.229	-3.170	0.869	42.26
0.317	2.876E-2	-1.938	5.636E-2	-3.073	-13.18	-8.613
0.333	2.867E-2	-1.938	-0.186	-1.886	1.927	24.15
0.350	2.256E-2	-2.001	2.211E-2	-3.310	10.78	-116.3
0.367	2.941E-2	-2.048	0.323	-5.048	7.034	21.52
0.383	3.333E-2	-2.169	0.183	-3.781	-10.34	-28.56
0.400	3.552E-2	-2.174	-4.524E-3	-4.149	-9.542	53.72
0.417	3.318E-2	-2.307	-0.163	-4.130		
0.433	3.009E-2	-2.312				
