	masa A						
t	x	y	vx	vy	ax	ay	
0.000000E0	-1.285873E-2	-5.607654E-1				
1.666667E-2	-1.023291E-2	-5.590592E-1	7.648437E-2	5.756589E-2		
3.333333E-2	-1.030925E-2	-5.588465E-1	8.283672E-2	-8.824923E-2	-1.395750E0	-3.730524E0
5.000000E-2	-7.471681E-3	-5.620008E-1	7.948359E-2	-1.017466E-1	2.629812E0	-1.386942E1
6.666667E-2	-7.659794E-3	-5.622380E-1	1.141544E-1	-4.490170E-1	-7.022331E-1	-4.033604E0
8.333333E-2	-3.666534E-3	-5.769681E-1	1.217224E-1	-4.367854E-1	2.302774E0	-1.692459E1
1.000000E-1	-3.602382E-3	-5.767976E-1	1.223821E-1	-7.191429E-1	-1.919828E0	2.375714E0
1.166667E-1	4.128679E-4	-6.009395E-1	1.249938E-1	-7.321803E-1	4.998445E0	-2.720413E1
1.333333E-1	5.640794E-4	-6.012036E-1	2.102095E-1	-1.154429E0	-6.081688E-1	5.571209E0
1.500000E-1	7.419850E-3	-6.394205E-1	2.078240E-1	-1.138979E0	-3.595143E0	2.022471E1
1.666667E-1	7.491545E-3	-6.391695E-1	3.590000E-3	1.247571E-2	2.923301E-1	-1.121840E1
1.833333E-1	7.539517E-3	-6.390046E-1	2.159944E-1	-1.467472E0	3.567776E0	-2.577006E1
2.000000E-1	1.469136E-2	-6.880853E-1	2.142082E-1	-1.477835E0	1.015542E1	-7.341706E1
2.166667E-1	1.467979E-2	-6.882658E-1	4.047430E-1	-2.875300E0	-4.058290E-1	1.377766E0
2.333333E-1	2.818279E-2	-7.839286E-1	4.050901E-1	-2.869885E0	-1.825148E0	-3.104211E1
2.500000E-1	2.818279E-2	-7.839286E-1	1.489645E-1	-2.345753E0	-1.146580E1	5.833357E1
2.666667E-1	3.314827E-2	-8.621204E-1	1.451532E-1	-2.341366E0	2.856467E0	-5.139828E1
2.833333E-1	3.302123E-2	-8.619741E-1	1.558902E-1	-2.669799E0	-8.837133E-1	-7.451863E1
3.000000E-1	3.834461E-2	-9.511137E-1	2.011346E-1	-5.854112E0	4.314736E0	-2.292093E1
3.166667E-1	3.972572E-2	-1.057111E0	2.226025E-1	-3.591196E0	-1.788824E0	3.322560E1
3.333333E-1	4.576470E-2	-1.070820E0	2.188287E-1	-3.500704E0	-3.850011E0	6.326803E1
3.500000E-1	4.702001E-2	-1.173801E0	3.855547E-2	-3.084961E0	-1.864176E1	6.723582E1
3.666667E-1	4.704988E-2	-1.173652E0	-3.432709E-1	7.294256E-3	-7.765538E0	8.693608E1
3.833333E-1	3.557764E-2	-1.173558E0	-3.604710E-1	-5.501515E-1	3.811839E1	-2.574713E2
4.000000E-1	3.503418E-2	-1.191991E0	9.324471E-1	-7.780182E0	2.834381E1	-1.145122E2
4.166667E-1	6.665921E-2	-1.432898E0	9.487510E-1	-7.227209E0	-2.757804E1	-7.533775E0
4.333333E-1	6.665921E-2	-1.432898E0	-3.462878E-1	-4.386312E0	-3.846497E1	1.725961E2
4.500000E-1	5.511629E-2	-1.579108E0	-3.462878E-1	-4.386312E0	1.780909E1	-8.310907E1
4.666667E-1	5.511629E-2	-1.579108E0	3.462878E-1	-4.617171E0	1.780909E1	7.123635E1
4.833333E-1	6.665921E-2	-1.733014E0	3.462878E-1	-4.617171E0	1.121313E1	-8.574746E1
5.000000E-1	6.665921E-2	-1.733014E0	5.001935E-1	-4.809553E0	-3.297979E0	7.585352E1
5.166667E-1	8.333233E-2	-1.893332E0	5.001935E-1	-4.809553E0	-8.574746E0	-9.827978E1
5.333333E-1	8.333233E-2	-1.893332E0	0.000000E0	-5.271270E0	-1.712296E1	7.457857E1
5.500000E-1	8.333233E-2	-2.069041E0	7.737915E-4	-5.269980E0	1.117595E-2	9.038261E1
5.666667E-1	8.335812E-2	-2.068998E0	7.128610E-4	1.169825E-3	3.918824E0	-1.193702E1
5.833333E-1	8.335609E-2	-2.069002E0	1.146555E-1	-5.618848E0	1.941081E0	-9.636322E1
6.000000E-1	8.717997E-2	-2.256293E0	1.147164E-1	-5.618727E0	3.312289E0	-3.955156E1
6.166667E-1	8.717997E-2	-2.256293E0	1.539057E-1	-3.963072E0		
6.333333E-1	9.231016E-2	-2.388395E0				
