seed,arquitectura,epoca,tiempo_s,train_mse,val_mse,rmse,mae,r2,r,rmse_trivial,g_mediana,g_media,g_std,g_iqr,err_rel_%,n
0,simple,1,0.011093616485595703,1.0029361992136676,0.9334996342658997,0.5051641464233398,0.3623511493206024,0.08632636070251465,0.7197831005111623,0.5284902453422546,0.1332380235531312,0.35593150754197384,0.4390113928773201,0.5866984059035151,101.3581857650676,87
0,simple,2,0.02025151252746582,0.8609503036421289,0.7978187799453735,0.4669550359249115,0.3251591920852661,0.2193143367767334,0.7575208511515487,0.5284902453422546,1.005591449794125,0.9344147408971096,0.8004236957497203,1.5268307859104402,110.25067736793194,87
0,simple,5,0.04683041572570801,0.4953017885952179,0.4663601815700531,0.3547714948654175,0.20145894587039948,0.5493664145469666,0.8395390473974991,0.5284902453422546,3.2233167417365896,2.648569547003404,1.9836531472766235,4.229671295621167,132.85745914104575,87
0,simple,10,0.09070348739624023,0.26719029802814515,0.2688669264316559,0.26729780435562134,0.16296504437923431,0.7441903948783875,0.8896237820788699,0.5284902453422546,0.6636612043217605,1.5845543979721515,1.811178228511418,3.3063028622708384,106.76514989114945,87
0,simple,20,0.17632174491882324,0.15684915164746244,0.16884185373783112,0.21358418464660645,0.14872603118419647,0.8366706371307373,0.9175151582903408,0.5284902453422546,7.245451225657007e-07,0.6547011125288495,1.1625331732214979,0.9977565067138988,100.00000738578106,87
0,simple,50,0.429736852645874,0.13230035195039494,0.14559714496135712,0.2015942931175232,0.14873939752578735,0.8544934391975403,0.9250426458309398,0.5284902453422546,4.0845719317950113e-07,0.20225311110244928,0.6839301678240408,3.2215558768422525e-06,100.00000416368188,87
0,simple,100,0.8508768081665039,0.13187452284008006,0.14559544622898102,0.20161333680152893,0.14935019612312317,0.8544659614562988,0.9253019306236927,0.5284902453422546,4.447059260836994e-07,0.1391900017282678,0.5992306710246111,2.050007308684876e-06,100.00000453318987,87
0,simple,200,1.7004165649414062,0.1321161443851542,0.14547006785869598,0.2006314992904663,0.14674855768680573,0.8558799624443054,0.9256670209387835,0.5284902453422546,5.732151080461989e-07,0.14701388182119807,0.6236751226023828,2.06240194167151e-06,100.00000584317132,87
0,simple,400,3.383255958557129,0.13139861739740993,0.14517849683761597,0.20131152868270874,0.14860741794109344,0.8549013137817383,0.9253194675155206,0.5284902453422546,4.0258081357436026e-07,0.15165144036309183,0.6214097903549933,2.091582628316324e-06,100.00000410377996,87
0,simple,800,6.7472898960113525,0.13149446829514908,0.1451641470193863,0.20142629742622375,0.14874880015850067,0.8547358512878418,0.9253851732463579,0.5284902453422546,3.087841746740594e-07,0.14506224609473825,0.6158167292117191,2.234080464513788e-06,100.00000314764704,87
0,media,1,0.00905466079711914,0.9781569830843314,0.7844101190567017,0.4684804677963257,0.39863836765289307,0.2142053246498108,0.7594258448003585,0.5284902453422546,-2.0737855418110236,-1.8378633129108999,0.8849018424755948,1.219109090954979,78.86049396726786,87
0,media,2,0.01804804801940918,0.6502370157211813,0.47824811935424805,0.36703619360923767,0.31857478618621826,0.5176705121994019,0.8786955349510726,0.5284902453422546,-5.199158420770226,-4.8554943337316105,1.6349753656470232,1.8393198145688574,47.001443213351415,87
0,media,5,0.04411196708679199,0.18085704787400156,0.17920969426631927,0.23329415917396545,0.1717757284641266,0.8051350116729736,0.9091564987651723,0.5284902453422546,-12.758646353642888,-11.914537571247799,2.5244058736098807,3.931938762483899,30.057557121741972,87
0,media,10,0.08720135688781738,0.10464015712691954,0.12074033170938492,0.190202534198761,0.11677742749452591,0.8704735040664673,0.9353296246433569,0.5284902453422546,-10.284324051522757,-10.477137726206484,3.383249215317779,5.959055623425273,4.835107558845636,87
0,media,20,0.17234396934509277,0.08835180782078625,0.11411794275045395,0.1791536808013916,0.09718219190835953,0.8850847482681274,0.9418898667333176,0.5284902453422546,-8.331147672333497,-8.6904111167449,2.9765369634460987,4.8794198671247555,15.074947274887904,87
0,media,50,0.4263617992401123,0.08559750833659963,0.11755097657442093,0.17739275097846985,0.09642531722784042,0.8873327374458313,0.9420018065899306,0.5284902453422546,-8.27898666019278,-8.38087628187673,2.5178304301400805,4.2002588034909145,15.606659936872784,87
0,media,100,0.850919246673584,0.08556574163749113,0.11098483949899673,0.17843122780323029,0.09417351335287094,0.886009693145752,0.9436118654020061,0.5284902453422546,-8.064667807240427,-8.081108905115359,2.4573247471623376,4.285488061316267,17.791357724358544,87
0,media,200,1.6962120532989502,0.08469313428203325,0.1136661022901535,0.17966200411319733,0.09356436133384705,0.8844317197799683,0.9417820503363767,0.5284902453422546,-8.278472570946716,-8.285163139259417,2.384841552292896,3.9416683262460044,15.611900398096678,87
0,media,400,3.3725831508636475,0.08557804966619495,0.11202821135520935,0.17917998135089874,0.093206025660038,0.8850510120391846,0.9427512390241132,0.5284902453422546,-8.241212910729772,-8.313468381411319,2.588435707507014,4.255642038158447,15.991713448218439,87
0,media,800,6.74834680557251,0.08519592575431942,0.11602392047643661,0.17547111213207245,0.09330173581838608,0.8897604942321777,0.9432744500278245,0.5284902453422546,-8.07389271866899,-8.020510705841343,2.394982560835356,3.874936108568254,17.69732192997972,87
0,tanh_deep,1,0.013683557510375977,0.3141915732545341,0.20213750004768372,0.23420314490795135,0.1476432979106903,0.803613543510437,0.9136365332388005,0.5284902453422546,-1.6661877655958384,-1.925793548203749,2.0806157015858155,3.253615892718103,83.0154152334777,87
0,tanh_deep,2,0.02680683135986328,0.13405793287688328,0.13474798202514648,0.1959371566772461,0.12509222328662872,0.8625452518463135,0.9314916854727048,0.5284902453422546,-5.737593680343382,-5.256122027792697,2.739891786419042,5.105539250396938,41.512806520454824,87
0,tanh_deep,5,0.06575369834899902,0.07320704720612947,0.10645259916782379,0.16241808235645294,0.08506409078836441,0.905551552772522,0.9517590438270658,0.5284902453422546,-8.638606547527946,-7.871482246131768,2.0659253023126762,2.3941215606062176,11.940809913068852,87
0,tanh_deep,10,0.13016605377197266,0.07021579994818104,0.10402726382017136,0.1680976003408432,0.08764477074146271,0.8988305926322937,0.9483768766616766,0.5284902453422546,-8.63747854198854,-7.968615909404459,2.3605339203468363,2.474427010684055,11.952308440483804,87
0,tanh_deep,20,0.2585761547088623,0.06777583423790941,0.1010216698050499,0.1648453176021576,0.08589029312133789,0.9027075171470642,0.9510141627067986,0.5284902453422546,-9.183851989117475,-8.393004570239933,2.577123066681548,2.6603689542397353,6.382752404510965,87
0,tanh_deep,50,0.6437907218933105,0.06489260525297254,0.09612483531236649,0.1585705727338791,0.08144773542881012,0.9099733233451843,0.9561885993655072,0.5284902453422546,-9.476691972136782,-8.36548381166163,2.634082264878956,2.0116936611987732,3.397635350287646,87
0,tanh_deep,100,1.2818682193756104,0.061922499637047185,0.09484682232141495,0.15214936435222626,0.0753793716430664,0.9171168208122253,0.9576730760338665,0.5284902453422546,-9.537991265639235,-8.606237963060664,2.3920626757492913,1.5934958723903083,2.7727699730964885,87
0,tanh_deep,200,2.5570318698883057,0.0600430867965435,0.09131589531898499,0.15356138348579407,0.08142107725143433,0.9155712723731995,0.9580712929533426,0.5284902453422546,-10.345191027439393,-9.283753451585868,2.695838779940647,2.3767381877914175,5.4555660289438554,87
0,tanh_deep,400,5.117018461227417,0.06022340474231071,0.09649841487407684,0.15756747126579285,0.08186187595129013,0.9111087322235107,0.9551037398768255,0.5284902453422546,-9.13442026015301,-8.038635698843645,2.778230536145114,2.454628577902575,6.886643627390313,87
0,tanh_deep,800,10.243150234222412,0.05816749256726043,0.09878533333539963,0.15963990986347198,0.08467977494001389,0.9087550044059753,0.9540917727021456,0.5284902453422546,-9.713340673152201,-8.721071858232417,2.44879968614737,1.9574517186656664,0.985314239019361,87
1,simple,1,0.009078741073608398,1.1775015901014947,1.0417133569717407,0.5435677766799927,0.47665661573410034,-0.11876356601715088,0.8051774706680763,0.5139070153236389,-1.0824609119751276,-0.8675750542064627,0.4858768582344518,0.8370217588794013,88.96573993909146,87
1,simple,2,0.01803898811340332,0.9287091081937036,0.7758339047431946,0.4737154543399811,0.41230082511901855,0.15029919147491455,0.8676573264353014,0.5139070153236389,-3.360993943277821,-3.0424460129287465,1.002767033613853,0.9368297028941708,65.7391035343749,87
1,simple,5,0.04428577423095703,0.3449556168017385,0.2776581048965454,0.30256524682044983,0.2499013990163803,0.6533676981925964,0.9021931484775499,0.5139070153236389,-9.96457213545981,-9.588056385500005,2.102122239159337,2.1975462965272605,1.575658873188671,87
1,simple,10,0.08723711967468262,0.14693244502988906,0.12153271585702896,0.21212482452392578,0.15521201491355896,0.8296218514442444,0.9215787149812438,0.5139070153236389,-11.520660033651495,-11.523876947735795,2.6089803052746436,4.162914139680122,17.4379208323292,87
1,simple,20,0.17209506034851074,0.10297669440476662,0.08447510749101639,0.18556910753250122,0.10965176671743393,0.869610607624054,0.9340937016985228,0.5139070153236389,-9.009032350852454,-9.727959829817545,3.285053469865944,5.994426021131716,8.164807840443897,87
1,simple,50,0.42490267753601074,0.10083548360626263,0.08153856545686722,0.18532797694206238,0.09962975233793259,0.869949221611023,0.9349271124135008,0.5139070153236389,-7.856373156757631,-8.284452692378313,2.6138589831116104,4.927179413927437,19.914646720105697,87
1,simple,100,0.8461389541625977,0.10192800001348264,0.0830644741654396,0.18290965259075165,0.10009691119194031,0.8733211159706116,0.9351181349310622,0.5139070153236389,-7.903375281743075,-8.343593889855454,2.563230103848143,4.847196934672134,19.435522102517083,87
1,simple,200,1.6919424533843994,0.10011161651121323,0.08127885311841965,0.184285506606102,0.1002863273024559,0.871408224105835,0.9351403767074039,0.5139070153236389,-7.6576031263682225,-8.056632160209546,2.4605385787170526,4.641412169886047,21.940844787276024,87
1,simple,400,3.379077672958374,0.10037277234514248,0.0828189104795456,0.182969331741333,0.09995696693658829,0.8732384443283081,0.9351121035227001,0.5139070153236389,-7.881177836076599,-8.252695295819123,2.476079782065375,4.680953866224058,19.66179575864833,87
