seed,formulacion,arquitectura,n_params,epocas,mejor_epoca,tiempo_s,rmse,mae,r2,r,rmse_trivial,g_mediana,g_media,g_std,g_iqr,err_rel_%,n
0,v1,simple,7,81,1,1.4734578132629395,0.5685366988182068,0.48019301891326904,0.1026342511177063,0.581412694791434,0.60016930103302,-6.286504755201053e-07,-5.645082955300167e-07,3.812339396008495e-07,2.6975465375293074e-07,99.99999359173827,87
0,v1,media,13,286,206,2.333580493927002,0.48807764053344727,0.4076705276966095,0.3386516571044922,0.582060017689031,0.60016930103302,1.6333797646831918e-06,0.08223947829622279,0.3405592562015931,8.995759983034368e-07,100.0000166501505,87
0,v1,tanh_deep,1153,181,101,2.4610488414764404,0.48669880628585815,0.40623828768730164,0.3423830270767212,0.5861213127241591,0.60016930103302,-2.044628244440344,-2.9996990879161296,2.0880904660790827,1.622838049473947,79.15771412395164,87
0,tau,simple,7,165,85,1.5041844844818115,0.20652420818805695,0.11788025498390198,0.8472898006439209,0.9215851168584254,0.5284902453422546,-7.411145939615954,-7.767618528592049,2.409459913758404,3.7504594933095516,24.45315046263044,87
0,tau,media,13,158,78,1.4441022872924805,0.20654509961605072,0.11820916831493378,0.8472589254379272,0.9214942932715283,0.5284902453422546,-7.316732000451556,-7.576263883269803,2.2307048066572324,3.5555684997261707,25.415575938312376,87
0,tau,tanh_deep,1153,407,327,4.60203218460083,0.1875079870223999,0.10931810736656189,0.8741174340248108,0.9352457489953733,0.5284902453422546,-9.04904008835798,-8.306402510026777,2.7021841920153693,1.5155104971998963,7.756981770051174,87
0,tau_v0,simple,9,146,66,1.196504831314087,0.20082120597362518,0.14837874472141266,0.855607271194458,0.9256609133827466,0.5284902453422546,2.163128818839355e-07,0.16752670922150797,0.6479359571249634,2.36685050354609e-06,100.00000220502429,87
0,tau_v0,media,17,190,110,1.6088063716888428,0.1778525561094284,0.09168972820043564,0.8867478966712952,0.9440263197331238,0.5284902453422546,-8.28966399562362,-8.399609699606868,2.483950232343112,4.250989952279002,15.497818597108873,87
0,tau_v0,tanh_deep,1185,282,202,3.29976487159729,0.15325194597244263,0.07734157145023346,0.9159111976623535,0.9584753817595237,0.5284902453422546,-9.86455867748828,-8.581318340156672,2.9252458219225588,3.057770117962014,0.5561536950894894,87
1,v1,simple,7,152,72,1.2284929752349854,0.5995630025863647,0.49742910265922546,-0.0026732683181762695,,0.5987632274627686,-1.1505663206875571e-15,-3.0317268559378597e-16,1.0238553225915798e-14,1.0671640868658046e-14,99.99999999999999,87
1,v1,media,13,96,16,0.7759525775909424,0.49368029832839966,0.4162639379501343,0.32019972801208496,0.5669771007581522,0.5987632274627686,1.3210956305749147e-06,0.2603877172013896,0.5431952611604453,0.2006709537622504,100.000013466826,87
1,v1,tanh_deep,1153,271,191,3.0483343601226807,0.4905301332473755,0.41260528564453125,0.32884758710861206,0.5737074140586607,0.5987632274627686,-2.4055725133929156,-2.9124913493588926,1.9482000437909741,1.517939486495827,75.47836377784999,87
1,tau,simple,7,223,143,1.7905921936035156,0.21814414858818054,0.16408835351467133,0.8198152184486389,0.9115904482524889,0.5139070153236389,3.913733130992102e-07,0.1368751007205695,0.3813284014398103,7.450995733930132e-07,100.00000398953428,87
1,tau,media,13,203,123,1.6515731811523438,0.1956111192703247,0.11350904405117035,0.8551167845726013,0.9321996059018874,0.5139070153236389,-7.726300179604885,-7.977326346159841,2.517753074089697,4.586107690138482,21.24056901524073,87
1,tau,tanh_deep,1153,109,29,1.2216706275939941,0.19165095686912537,0.10919728875160217,0.8609237670898438,0.9373021654704319,0.5139070153236389,-9.510062440512764,-8.349252576619428,2.412887835409715,2.3927853718713292,3.057467476934117,87
1,tau_v0,simple,9,160,80,1.3118674755096436,0.1865755319595337,0.09977227449417114,0.8681924343109131,0.9352014831316932,0.5139070153236389,-7.885876296010689,-8.376528264576645,2.6195933408219814,4.932240885454506,19.61390116197055,87
1,tau_v0,media,17,329,249,2.8835952281951904,0.1840045005083084,0.10417490452528,0.8718000650405884,0.937380705317433,0.5139070153236389,-7.19489231897768,-6.674367387071138,1.67778691773343,2.1172187853297135,26.65757065262304,87
1,tau_v0,tanh_deep,1185,121,41,1.547567367553711,0.16471444070339203,0.08288531005382538,0.8972707390785217,0.9512744665796109,0.5139070153236389,-9.072143150165825,-8.4342615128383,2.0875635267383754,1.7785242784461204,7.521476552845823,87
2,v1,simple,7,137,57,1.1940686702728271,0.4759715497493744,0.39408236742019653,0.3221217393875122,0.5726731005704359,0.5781028866767883,4.971832179250739e-07,0.10784523788910089,0.4034592583833369,1.476628500383919e-06,100.00000506812657,87
2,v1,media,13,152,72,1.3694841861724854,0.4763408899307251,0.39304476976394653,0.32106930017471313,0.5735242474729524,0.5781028866767883,-8.809612505646819e-08,0.055874599533544254,0.2566795197002595,9.923624343380844e-07,99.9999991019763,87
2,v1,tanh_deep,1153,123,43,1.5948340892791748,0.4742925763130188,0.3897228538990021,0.32689565420150757,0.5778237854193847,0.5781028866767883,-3.0766895441274364,-3.2655244743181377,1.5009806077891021,2.4588286163368758,68.63721157872135,87
2,tau,simple,7,261,181,2.2267870903015137,0.17460733652114868,0.13467195630073547,0.878300130367279,0.9376575572937627,0.5005154013633728,-3.486402991510624e-08,0.08518037386467474,0.40095240483102806,7.934206199012061e-07,99.99999964460723,87
2,tau,media,13,247,167,2.089752435684204,0.1314491629600525,0.08278067409992218,0.9310267567634583,0.9652057109444284,0.5005154013633728,-8.203036542066709,-7.746030385968006,1.7173397336756713,1.5750967815460548,16.380871130818466,87
